用户ID,最近购买时间
1000541,2017/12/2
1000547,2017/12/2
1000552,2017/12/2
1000554,2017/12/3
1000556,2017/11/25
1000562,2017/12/1
1000565,2017/12/2
1000569,2017/12/3
1000573,2017/11/29
1000577,2017/12/2
1000578,2017/12/3
100058,2017/12/2
1000580,2017/11/28
1000581,2017/11/29
1000582,2017/11/27
1000584,2017/11/29
1000587,2017/11/26
1000588,2017/12/1
100059,2017/11/27
1000590,2017/12/3
1000591,2017/12/3
1000596,2017/11/29
1000598,2017/12/3
1000602,2017/11/27
1000606,2017/11/28
1000609,2017/12/1
1000610,2017/12/3
1000623,2017/11/25
1000630,2017/11/29
1000635,2017/12/1
1000636,2017/12/1
1000638,2017/12/1
100064,2017/12/2
1000640,2017/12/3
1000641,2017/11/30
1000647,2017/11/26
1000650,2017/11/29
1000656,2017/12/2
1000659,2017/12/1
1000664,2017/11/30
1000676,2017/12/2
100068,2017/11/30
1000684,2017/12/3
1000686,2017/12/1
1000688,2017/12/2
100069,2017/12/2
1000694,2017/12/1
1000697,2017/11/26
1000701,2017/12/3
1000703,2017/11/29
1000709,2017/11/25
100071,2017/11/27
1000712,2017/11/29
1000715,2017/12/1
1000718,2017/11/30
1000720,2017/12/1
1000722,2017/11/29
1000723,2017/12/2
1000724,2017/12/2
1000727,2017/12/3
1000730,2017/12/2
1000731,2017/11/28
1000732,2017/12/1
1000734,2017/12/3
1000735,2017/12/2
1000736,2017/12/2
1000737,2017/12/1
1000738,2017/11/26
1000743,2017/12/1
1000748,2017/11/29
1000749,2017/12/3
100075,2017/11/30
1000751,2017/11/27
1000759,2017/12/3
1000761,2017/11/29
1000763,2017/12/3
1000764,2017/12/1
1000772,2017/12/3
1000779,2017/11/29
1000786,2017/11/27
1000792,2017/12/1
1000793,2017/12/2
1000798,2017/12/3
10008,2017/12/2
1000803,2017/11/26
1000805,2017/12/2
1000807,2017/12/3
1000810,2017/12/2
1000811,2017/11/30
1000816,2017/12/2
100082,2017/12/1
1000828,2017/11/28
1000836,2017/12/3
1000839,2017/12/2
1000840,2017/12/2
1000843,2017/12/3
100085,2017/12/2
1000856,2017/11/30
1000857,2017/11/29
1000858,2017/12/2
1000862,2017/12/2
1000864,2017/12/3
1000865,2017/12/1
1000866,2017/11/26
1000867,2017/11/30
1000872,2017/12/1
1000877,2017/11/30
1000878,2017/12/1
100088,2017/12/2
1000884,2017/11/29
1000896,2017/11/27
10009,2017/12/3
1000903,2017/11/26
1000905,2017/12/3
1000909,2017/12/2
100091,2017/12/3
1000911,2017/12/3
1000916,2017/12/1
1000917,2017/12/3
1000919,2017/11/29
100092,2017/11/28
1000922,2017/11/29
1000923,2017/12/2
1000926,2017/12/3
1000929,2017/12/1
100093,2017/12/2
1000935,2017/12/3
1000936,2017/11/27
1000937,2017/12/1
100094,2017/12/3
1000945,2017/11/28
100095,2017/11/29
1000950,2017/12/1
1000958,2017/11/28
1000959,2017/11/26
100096,2017/12/2
1000962,2017/11/30
1000964,2017/11/26
1000965,2017/12/3
1000970,2017/11/26
1000972,2017/11/26
1000973,2017/12/2
1000984,2017/11/30
1000987,2017/11/28
1000989,2017/12/3
1000991,2017/12/2
1000997,2017/12/2
1001005,2017/12/2
1001008,2017/12/3
1001009,2017/11/30
100101,2017/12/3
1001017,2017/11/28
1001018,2017/11/27
1001021,2017/11/26
1001023,2017/11/26
1001024,2017/11/29
1001025,2017/12/3
1001026,2017/12/3
100103,2017/12/2
1001030,2017/12/1
1001037,2017/12/1
1001044,2017/12/2
1001045,2017/12/3
1001047,2017/11/26
1001048,2017/12/3
1001049,2017/11/30
100105,2017/12/3
1001050,2017/12/2
1001051,2017/11/26
1001052,2017/12/2
1001054,2017/12/3
100106,2017/12/2
1001065,2017/11/30
100107,2017/12/3
1001081,2017/12/2
1001082,2017/12/3
1001084,2017/12/2
1001088,2017/11/25
1001089,2017/11/30
100109,2017/11/29
1001092,2017/11/28
1001094,2017/11/27
1001099,2017/12/1
1001102,2017/12/2
1001103,2017/11/27
1001104,2017/12/2
1001105,2017/11/30
1001108,2017/11/26
1001111,2017/11/28
1001114,2017/12/3
1001120,2017/11/30
1001121,2017/11/30
1001128,2017/12/1
100113,2017/11/29
1001131,2017/12/3
1001138,2017/12/3
1001139,2017/12/3
1001145,2017/12/2
1001148,2017/12/3
1001151,2017/12/1
1001154,2017/11/29
100116,2017/12/3
1001164,2017/12/1
1001165,2017/12/3
1001174,2017/11/26
1001178,2017/11/29
1001185,2017/11/29
1001186,2017/12/3
1001198,2017/12/3
1001199,2017/12/3
1001201,2017/12/3
100121,2017/12/2
1001212,2017/12/3
100122,2017/11/25
1001228,2017/12/2
1001230,2017/11/30
1001232,2017/11/30
1001235,2017/12/3
1001236,2017/11/29
1001241,2017/12/1
1001242,2017/12/1
1001245,2017/12/3
1001248,2017/11/26
1001261,2017/11/29
1001265,2017/12/1
1001268,2017/11/27
1001270,2017/12/2
1001274,2017/12/2
100128,2017/12/2
1001286,2017/11/29
100129,2017/12/1
1001297,2017/11/26
1001301,2017/11/27
1001305,2017/11/30
1001310,2017/12/3
1001313,2017/12/2
1001314,2017/12/2
1001319,2017/11/27
1001322,2017/12/3
1001326,2017/12/2
1001327,2017/11/29
1001332,2017/12/3
1001335,2017/12/3
100134,2017/11/28
1001343,2017/11/25
1001346,2017/11/27
1001347,2017/12/1
1001348,2017/12/1
1001352,2017/12/2
1001359,2017/12/1
1001360,2017/11/27
1001369,2017/12/3
1001373,2017/11/30
1001375,2017/12/3
1001378,2017/12/3
1001381,2017/12/2
1001390,2017/12/2
1001392,2017/11/28
1001402,2017/12/3
1001404,2017/12/1
1001409,2017/11/29
100141,2017/12/2
1001414,2017/12/3
1001419,2017/12/1
1001420,2017/11/28
1001421,2017/11/30
1001423,2017/12/2
1001438,2017/11/29
1001440,2017/11/30
1001441,2017/12/3
1001442,2017/11/27
1001443,2017/11/28
1001444,2017/12/2
1001454,2017/12/3
1001456,2017/11/25
100146,2017/12/1
1001460,2017/11/30
1001461,2017/11/30
1001463,2017/12/2
1001466,2017/12/3
1001472,2017/11/26
1001476,2017/12/1
1001478,2017/12/3
1001482,2017/11/28
1001489,2017/11/28
1001492,2017/11/28
1001505,2017/12/2
1001512,2017/12/1
1001515,2017/11/30
1001521,2017/11/27
1001524,2017/12/3
1001531,2017/12/3
1001532,2017/12/2
1001534,2017/11/26
1001537,2017/12/3
1001540,2017/12/2
1001541,2017/12/1
1001543,2017/11/28
1001545,2017/12/3
100155,2017/11/28
1001551,2017/12/3
1001557,2017/12/2
1001558,2017/11/30
1001562,2017/11/30
1001563,2017/12/3
1001566,2017/12/1
1001569,2017/11/28
100157,2017/12/3
1001578,2017/12/2
1001584,2017/12/3
1001586,2017/12/3
1001590,2017/12/3
1001591,2017/12/2
1001595,2017/11/30
1001596,2017/12/2
1001597,2017/11/30
1001600,2017/11/27
1001601,2017/11/30
1001606,2017/12/1
1001608,2017/11/27
1001609,2017/11/30
1001610,2017/12/2
1001613,2017/12/3
1001615,2017/12/3
1001617,2017/11/27
1001618,2017/11/26
100162,2017/12/3
1001625,2017/12/3
1001626,2017/11/30
1001628,2017/11/30
1001629,2017/12/3
1001639,2017/12/3
100164,2017/11/29
1001641,2017/11/25
1001645,2017/12/2
1001652,2017/12/3
1001654,2017/12/1
1001656,2017/12/2
1001662,2017/11/30
1001667,2017/12/2
1001669,2017/12/3
100167,2017/12/2
1001671,2017/11/26
1001673,2017/11/29
1001676,2017/12/3
100168,2017/11/30
1001681,2017/11/30
1001686,2017/12/1
1001688,2017/11/27
1001689,2017/12/1
1001697,2017/12/2
1001698,2017/12/1
1001699,2017/11/28
1001700,2017/11/30
1001704,2017/12/3
1001711,2017/12/3
1001712,2017/11/27
1001719,2017/11/29
100173,2017/12/3
1001731,2017/12/3
1001737,2017/11/30
100174,2017/12/2
1001741,2017/11/26
1001744,2017/11/28
1001746,2017/12/3
1001747,2017/11/28
1001757,2017/12/3
1001758,2017/12/3
1001764,2017/11/29
1001769,2017/11/28
100177,2017/11/28
1001771,2017/11/26
1001772,2017/11/29
1001781,2017/12/2
1001782,2017/12/2
1001783,2017/12/2
1001784,2017/11/29
1001788,2017/11/29
100179,2017/12/1
1001791,2017/11/29
1001792,2017/11/28
1001799,2017/12/2
1001800,2017/12/1
1001801,2017/11/29
1001803,2017/11/29
1001804,2017/12/3
1001806,2017/12/1
1001807,2017/12/1
1001809,2017/11/29
100181,2017/11/29
1001813,2017/12/1
1001820,2017/11/30
1001823,2017/11/30
1001826,2017/11/25
1001829,2017/12/3
1001830,2017/12/3
1001833,2017/11/27
1001835,2017/11/27
1001836,2017/12/2
100184,2017/12/2
1001841,2017/12/2
1001844,2017/12/1
1001847,2017/11/26
1001848,2017/12/3
1001850,2017/12/2
1001854,2017/12/1
1001855,2017/11/29
1001856,2017/12/2
100186,2017/12/2
1001860,2017/12/1
1001862,2017/12/2
1001865,2017/11/29
1001866,2017/11/30
1001870,2017/12/2
1001872,2017/11/28
1001875,2017/12/1
1001876,2017/12/3
1001877,2017/12/2
1001879,2017/12/3
1001882,2017/12/3
1001888,2017/11/29
1001891,2017/11/30
1001896,2017/12/3
1001897,2017/12/2
1001901,2017/12/3
1001902,2017/12/3
1001903,2017/11/29
1001908,2017/12/1
100191,2017/12/1
1001911,2017/12/3
1001912,2017/12/1
1001914,2017/12/2
1001915,2017/12/2
1001916,2017/12/3
1001917,2017/11/30
1001920,2017/12/1
1001921,2017/12/3
1001922,2017/12/1
1001925,2017/11/28
1001929,2017/11/27
1001937,2017/11/30
1001944,2017/11/30
1001946,2017/11/28
1001947,2017/12/2
1001948,2017/12/1
1001949,2017/12/2
1001952,2017/12/3
1001954,2017/12/2
1001967,2017/12/3
100197,2017/12/3
1001974,2017/12/3
1001975,2017/12/3
1001981,2017/11/26
1001982,2017/12/3
1001985,2017/11/29
1001988,2017/12/3
1001999,2017/12/3
1002,2017/12/1
10020,2017/11/27
100200,2017/12/1
1002005,2017/11/30
1002010,2017/11/30
1002012,2017/11/26
1002017,2017/11/27
1002019,2017/12/1
1002020,2017/12/3
1002031,2017/12/3
1002032,2017/11/30
1002034,2017/12/2
100204,2017/11/28
1002040,2017/11/30
1002042,2017/12/3
1002044,2017/11/29
1002046,2017/11/28
1002058,2017/11/28
100206,2017/11/30
1002066,2017/12/2
1002074,2017/11/30
1002075,2017/12/3
1002076,2017/12/1
1002077,2017/12/2
1002085,2017/11/30
100209,2017/11/27
1002090,2017/11/27
1002091,2017/12/2
1002093,2017/12/3
1002095,2017/11/30
10021,2017/12/1
1002103,2017/12/3
1002104,2017/12/2
1002118,2017/12/1
1002120,2017/12/2
1002127,2017/12/3
1002128,2017/11/30
1002132,2017/11/28
1002133,2017/12/3
1002136,2017/11/29
1002142,2017/12/2
1002144,2017/12/3
1002147,2017/11/28
100215,2017/12/2
1002152,2017/11/28
100216,2017/12/1
1002166,2017/12/3
1002172,2017/11/26
1002179,2017/12/1
1002180,2017/12/3
1002182,2017/11/30
1002183,2017/11/29
1002185,2017/12/2
1002188,2017/12/3
1002191,2017/11/30
1002192,2017/11/30
1002194,2017/12/3
1002196,2017/12/3
1002200,2017/11/26
1002201,2017/12/2
1002202,2017/11/28
1002208,2017/12/3
1002213,2017/11/26
1002218,2017/12/3
1002219,2017/12/3
1002220,2017/12/2
1002221,2017/12/1
1002222,2017/12/2
1002226,2017/12/1
1002228,2017/12/1
1002232,2017/11/29
1002235,2017/12/1
1002237,2017/12/2
1002244,2017/12/3
1002246,2017/12/3
1002247,2017/11/29
100225,2017/12/3
1002251,2017/12/2
1002253,2017/11/25
1002254,2017/12/2
1002257,2017/12/3
100226,2017/12/3
1002260,2017/12/1
1002261,2017/12/2
1002263,2017/11/28
1002267,2017/12/1
100227,2017/12/3
1002271,2017/11/30
1002276,2017/12/3
1002284,2017/11/28
1002285,2017/12/1
1002286,2017/11/28
100229,2017/12/2
1002290,2017/12/1
1002291,2017/11/25
1002295,2017/12/2
1002296,2017/12/3
1002297,2017/11/30
1002306,2017/11/29
1002307,2017/12/3
1002308,2017/11/25
1002310,2017/11/27
1002311,2017/12/3
1002315,2017/12/3
1002316,2017/11/29
1002317,2017/12/3
1002321,2017/11/29
1002325,2017/12/2
1002326,2017/11/27
1002328,2017/11/28
1002330,2017/11/29
1002331,2017/11/29
1002332,2017/11/25
1002339,2017/11/28
100234,2017/11/28
1002340,2017/12/3
1002349,2017/11/29
1002350,2017/12/2
1002351,2017/12/2
1002357,2017/11/29
1002358,2017/12/3
1002365,2017/11/28
100237,2017/12/1
1002375,2017/12/3
1002377,2017/12/2
1002378,2017/12/1
1002379,2017/12/2
1002380,2017/12/3
1002383,2017/11/29
1002387,2017/12/1
1002388,2017/12/1
1002392,2017/12/2
10024,2017/12/2
100241,2017/12/3
1002412,2017/11/30
1002413,2017/11/26
1002416,2017/12/3
100242,2017/11/30
1002421,2017/12/1
1002423,2017/11/25
1002426,2017/12/1
1002428,2017/11/30
100243,2017/12/3
1002435,2017/11/26
1002437,2017/12/2
1002449,2017/12/2
1002452,2017/12/2
1002453,2017/11/27
1002454,2017/12/2
1002460,2017/11/25
1002463,2017/12/1
1002464,2017/12/2
1002466,2017/12/3
1002468,2017/12/3
1002473,2017/12/1
1002477,2017/11/28
1002478,2017/11/27
1002479,2017/12/1
1002484,2017/11/29
100249,2017/11/28
1002494,2017/11/28
1002504,2017/12/2
1002508,2017/11/30
1002512,2017/12/3
1002520,2017/12/3
1002526,2017/11/30
1002534,2017/11/28
1002542,2017/12/2
1002547,2017/12/2
1002564,2017/12/1
1002566,2017/11/30
100257,2017/12/3
1002574,2017/12/3
1002578,2017/12/3
1002587,2017/12/1
1002589,2017/12/2
100259,2017/11/30
1002591,2017/12/3
1002593,2017/11/27
1002597,2017/12/2
100261,2017/12/3
1002618,2017/12/3
1002637,2017/12/2
100264,2017/12/2
1002642,2017/12/3
1002661,2017/12/2
1002672,2017/12/2
1002684,2017/12/3
1002685,2017/12/1
1002696,2017/12/2
10027,2017/12/1
1002705,2017/11/27
1002714,2017/12/2
1002725,2017/11/28
1002756,2017/12/3
1002763,2017/12/1
1002766,2017/11/30
1002767,2017/12/3
100277,2017/11/27
1002771,2017/12/3
100279,2017/12/3
1002793,2017/12/2
1002831,2017/12/3
100284,2017/11/28
1002846,2017/11/30
1002847,2017/12/2
100285,2017/12/2
1002862,2017/12/3
1002878,2017/12/3
1002886,2017/11/29
1002890,2017/12/3
1002909,2017/12/3
100292,2017/11/27
1002927,2017/12/1
1002928,2017/12/1
1002931,2017/12/2
1002934,2017/12/3
100294,2017/12/3
1002940,2017/11/30
1002943,2017/12/2
1002970,2017/12/3
1002975,2017/12/1
1002980,2017/11/25
1002992,2017/12/2
1002996,2017/11/25
1003022,2017/12/3
1003027,2017/12/3
1003041,2017/12/3
1003044,2017/11/29
1003047,2017/11/29
1003052,2017/12/2
1003057,2017/12/2
1003063,2017/12/2
1003065,2017/12/1
100307,2017/11/30
1003071,2017/12/1
1003073,2017/12/3
1003076,2017/12/1
100308,2017/11/28
1003093,2017/11/30
1003095,2017/11/28
1003110,2017/11/27
1003122,2017/11/27
1003123,2017/12/3
1003124,2017/11/25
100313,2017/12/2
1003131,2017/12/2
1003152,2017/11/28
1003157,2017/11/30
1003163,2017/11/27
1003171,2017/12/3
1003176,2017/12/2
1003177,2017/11/30
100318,2017/12/3
1003183,2017/12/3
1003184,2017/11/29
1003190,2017/12/2
1003191,2017/12/1
1003199,2017/11/26
1003200,2017/12/3
1003221,2017/11/25
1003226,2017/12/1
1003227,2017/11/30
1003230,2017/11/30
1003239,2017/12/3
100324,2017/11/28
1003249,2017/12/3
1003250,2017/12/3
1003264,2017/12/3
1003273,2017/12/3
1003274,2017/11/28
1003281,2017/11/28
1003283,2017/12/1
1003292,2017/12/2
1003293,2017/11/26
1003296,2017/12/2
1003298,2017/11/25
1003306,2017/11/27
1003319,2017/12/1
1003321,2017/12/3
1003326,2017/12/1
1003329,2017/11/27
1003332,2017/12/2
1003341,2017/12/2
1003343,2017/11/27
1003348,2017/12/3
1003351,2017/12/3
1003359,2017/11/26
100339,2017/11/26
1003390,2017/12/2
1003397,2017/11/30
10034,2017/12/3
100340,2017/12/1
1003410,2017/12/2
1003422,2017/12/3
1003428,2017/12/2
1003432,2017/11/28
1003440,2017/12/1
1003457,2017/11/30
100346,2017/11/30
1003463,2017/12/3
1003467,2017/11/27
1003475,2017/11/26
1003479,2017/11/26
1003492,2017/12/1
1003499,2017/11/25
10035,2017/11/27
1003509,2017/12/3
1003510,2017/12/3
1003512,2017/11/26
1003514,2017/12/3
1003531,2017/11/26
1003550,2017/11/29
1003553,2017/11/26
1003559,2017/12/3
100356,2017/12/3
1003561,2017/12/3
1003562,2017/12/3
100357,2017/12/2
1003571,2017/11/29
1003584,2017/11/30
1003586,2017/12/2
1003598,2017/11/30
1003610,2017/12/1
1003611,2017/11/30
1003612,2017/11/30
1003627,2017/12/3
1003628,2017/12/3
1003629,2017/12/1
100363,2017/11/28
1003643,2017/11/28
1003656,2017/12/3
1003685,2017/11/25
1003693,2017/12/1
100370,2017/12/3
1003703,2017/11/29
1003707,2017/12/3
1003711,2017/11/30
1003716,2017/12/3
1003724,2017/12/1
1003725,2017/12/2
1003733,2017/11/26
1003740,2017/12/1
1003743,2017/11/29
1003748,2017/12/3
1003756,2017/11/29
1003757,2017/12/2
1003761,2017/12/2
1003766,2017/12/3
1003767,2017/11/29
100377,2017/12/3
1003781,2017/12/2
1003782,2017/12/3
1003792,2017/11/30
1003807,2017/11/30
1003821,2017/12/3
1003826,2017/12/3
1003837,2017/12/1
1003838,2017/12/2
1003846,2017/12/1
1003855,2017/11/25
1003863,2017/12/3
1003866,2017/12/2
1003867,2017/12/3
1003871,2017/12/1
1003875,2017/11/26
100388,2017/12/3
1003885,2017/12/2
1003887,2017/11/30
1003893,2017/12/3
1003894,2017/11/28
1003901,2017/12/2
1003906,2017/12/3
1003912,2017/11/26
1003914,2017/11/28
1003938,2017/12/2
1003940,2017/12/3
1003941,2017/11/27
1003947,2017/11/27
100395,2017/12/2
1003961,2017/12/3
1003965,2017/11/26
1003975,2017/12/2
1003979,2017/11/29
1003983,2017/12/3
1003988,2017/12/3
1003991,2017/12/1
1003993,2017/12/2
1003998,2017/12/2
1004001,2017/12/3
1004002,2017/12/3
100401,2017/11/26
1004019,2017/12/2
1004020,2017/11/29
1004021,2017/12/2
1004026,2017/12/3
1004032,2017/12/2
1004068,2017/12/3
1004073,2017/11/28
1004075,2017/12/2
1004082,2017/12/3
1004087,2017/11/25
1004096,2017/12/2
1004106,2017/11/30
1004115,2017/11/25
1004118,2017/12/1
1004122,2017/11/27
1004140,2017/12/1
1004146,2017/12/3
1004161,2017/12/3
1004165,2017/11/30
1004172,2017/12/3
1004183,2017/12/3
1004192,2017/11/25
1004196,2017/11/28
1004201,2017/11/26
1004207,2017/12/2
1004212,2017/11/29
1004228,2017/11/30
1004232,2017/11/29
1004238,2017/11/30
1004246,2017/11/30
1004259,2017/12/1
1004269,2017/12/3
1004274,2017/11/30
1004277,2017/12/1
100428,2017/11/28
1004282,2017/12/3
1004289,2017/11/27
1004296,2017/11/28
1004298,2017/11/28
1004302,2017/12/2
1004303,2017/11/25
1004319,2017/12/1
1004327,2017/12/1
1004335,2017/12/3
1004337,2017/12/3
1004339,2017/12/2
1004341,2017/11/29
1004350,2017/12/2
1004353,2017/12/1
1004354,2017/12/3
1004357,2017/12/2
1004362,2017/11/30
1004366,2017/12/2
1004368,2017/11/29
1004378,2017/12/1
1004381,2017/12/3
1004396,2017/12/2
10044,2017/11/28
100440,2017/12/3
1004403,2017/11/28
1004405,2017/12/2
1004406,2017/11/28
1004410,2017/11/29
1004413,2017/12/1
1004420,2017/11/29
1004426,2017/12/2
1004427,2017/11/25
1004441,2017/12/3
1004442,2017/11/30
1004443,2017/11/29
1004444,2017/12/3
1004446,2017/12/2
1004448,2017/12/3
1004454,2017/11/27
1004458,2017/12/2
1004463,2017/11/28
1004466,2017/11/28
1004467,2017/12/2
1004471,2017/11/28
1004474,2017/11/30
1004477,2017/12/3
1004490,2017/11/30
1004497,2017/12/2
10045,2017/12/1
1004504,2017/12/1
100451,2017/12/3
1004516,2017/11/29
1004523,2017/11/30
100453,2017/12/3
1004533,2017/12/3
1004538,2017/12/2
1004555,2017/12/3
1004560,2017/12/1
1004562,2017/12/3
1004565,2017/12/2
1004570,2017/12/2
1004572,2017/12/1
1004577,2017/12/2
1004580,2017/11/29
1004584,2017/12/3
1004599,2017/12/2
1004603,2017/12/1
1004604,2017/11/26
1004606,2017/11/30
1004608,2017/11/29
1004611,2017/11/26
1004651,2017/12/1
1004659,2017/12/2
1004663,2017/12/3
1004681,2017/12/3
1004682,2017/12/3
1004684,2017/11/30
1004701,2017/11/29
1004726,2017/12/3
1004730,2017/12/2
1004737,2017/12/1
1004743,2017/12/2
1004745,2017/12/2
1004751,2017/12/3
100477,2017/12/3
1004775,2017/11/26
1004778,2017/11/28
1004785,2017/12/2
1004792,2017/12/2
1004800,2017/11/29
1004807,2017/12/3
1004810,2017/12/3
1004829,2017/12/1
100483,2017/12/2
1004834,2017/12/3
1004835,2017/12/2
1004839,2017/12/3
1004841,2017/12/2
1004842,2017/11/30
1004862,2017/12/2
1004879,2017/11/29
1004881,2017/11/30
1004886,2017/12/1
1004895,2017/12/3
10049,2017/12/3
1004906,2017/12/3
1004929,2017/11/28
100493,2017/11/29
1004936,2017/12/3
1004944,2017/12/2
1004945,2017/11/30
1004958,2017/11/27
1004960,2017/11/26
1004964,2017/12/2
1004973,2017/12/2
1004974,2017/12/3
1004993,2017/12/2
100501,2017/11/29
1005016,2017/12/1
1005022,2017/11/26
1005035,2017/12/3
1005055,2017/12/1
1005070,2017/12/2
1005074,2017/12/3
1005077,2017/12/3
1005082,2017/12/3
1005085,2017/11/29
1005103,2017/12/2
1005115,2017/12/2
1005117,2017/11/27
1005124,2017/12/3
1005129,2017/11/25
1005131,2017/11/29
1005134,2017/11/30
1005135,2017/12/2
1005166,2017/12/3
1005179,2017/11/28
1005186,2017/11/28
1005188,2017/12/2
1005196,2017/12/2
1005215,2017/11/28
1005218,2017/11/28
100523,2017/11/28
1005233,2017/11/30
1005249,2017/12/3
1005256,2017/12/1
1005257,2017/12/3
1005259,2017/12/3
1005268,2017/11/27
1005269,2017/11/28
100528,2017/12/3
1005281,2017/12/1
1005283,2017/12/1
1005284,2017/12/3
1005292,2017/12/3
1005293,2017/11/30
1005294,2017/12/2
10053,2017/11/29
1005304,2017/12/3
100531,2017/12/1
1005311,2017/11/28
1005313,2017/11/29
1005314,2017/11/29
1005319,2017/12/1
1005320,2017/12/2
1005324,2017/12/2
1005329,2017/12/2
1005337,2017/12/2
1005338,2017/11/30
1005345,2017/11/26
1005346,2017/11/26
1005366,2017/11/30
1005383,2017/11/28
100540,2017/11/30
1005401,2017/11/30
1005407,2017/12/3
1005412,2017/11/29
1005413,2017/11/29
1005414,2017/12/3
1005417,2017/11/30
1005419,2017/12/3
1005422,2017/12/2
1005430,2017/12/1
1005431,2017/11/27
1005442,2017/12/2
1005444,2017/12/2
1005455,2017/11/27
1005459,2017/12/2
1005468,2017/11/30
1005472,2017/12/1
1005473,2017/12/3
1005474,2017/12/3
1005482,2017/11/29
1005487,2017/12/3
1005490,2017/12/2
1005498,2017/12/1
1005501,2017/12/3
1005502,2017/12/2
1005505,2017/11/29
1005507,2017/12/3
1005521,2017/11/29
1005522,2017/11/27
1005524,2017/11/28
1005541,2017/11/28
1005545,2017/12/3
1005548,2017/12/1
1005551,2017/12/1
1005559,2017/12/3
1005564,2017/12/1
1005571,2017/11/29
1005572,2017/11/30
1005585,2017/12/2
100561,2017/12/2
1005616,2017/11/26
1005626,2017/11/30
1005627,2017/11/26
1005649,2017/11/28
1005659,2017/11/29
1005661,2017/11/30
100567,2017/11/30
1005681,2017/12/3
1005688,2017/12/2
1005693,2017/11/26
1005694,2017/11/30
10057,2017/12/2
1005701,2017/11/27
1005703,2017/11/28
1005704,2017/12/3
1005705,2017/12/2
1005706,2017/11/29
1005707,2017/12/1
1005709,2017/12/3
1005712,2017/12/3
1005713,2017/12/1
1005738,2017/12/3
1005742,2017/12/3
1005744,2017/11/26
1005746,2017/12/3
1005752,2017/12/2
1005758,2017/12/2
1005760,2017/12/1
1005766,2017/12/2
1005767,2017/12/3
1005771,2017/12/3
1005775,2017/12/1
1005779,2017/12/3
1005785,2017/12/1
1005787,2017/11/29
1005788,2017/11/28
100580,2017/11/29
1005807,2017/12/3
1005822,2017/12/2
1005832,2017/11/30
1005834,2017/11/26
1005837,2017/11/26
