用户ID,购买次数
1001830,1
1001833,1
1001835,1
1001836,1
100184,1
1001841,7
1001844,2
1001847,3
1001848,3
1001850,2
1001854,6
1001855,3
1001856,8
100186,5
1001860,4
1001862,2
1001865,4
1001866,15
1001870,2
1001872,2
1001875,5
1001876,2
1001877,3
1001879,2
1001882,1
1001888,5
1001891,2
1001896,4
1001897,5
1001901,3
1001902,2
1001903,1
1001908,2
100191,5
1001911,2
1001912,1
1001914,3
1001915,5
1001916,3
1001917,3
1001920,3
1001921,6
1001922,2
1001925,2
1001929,2
1001937,2
1001944,4
1001946,1
1001947,1
1001948,3
1001949,1
1001952,2
1001954,3
1001967,3
100197,2
1001974,2
1001975,5
1001981,1
1001982,2
1001985,1
1001988,4
1001999,14
1002,1
10020,1
100200,2
1002005,1
1002010,1
1002012,3
1002017,2
1002019,2
1002020,4
1002031,16
1002032,4
1002034,5
100204,5
1002040,3
1002042,7
1002044,1
1002046,8
1002058,1
100206,3
1002066,5
1002074,2
1002075,2
1002076,2
1002077,6
1002085,2
100209,1
1002090,1
1002091,1
1002093,4
1002095,4
10021,1
1002103,1
1002104,1
1002118,3
1002120,2
1002127,2
1002128,2
1002132,5
1002133,2
1002136,3
1002142,3
1002144,4
1002147,1
100215,3
1002152,4
100216,3
1002166,10
1002172,2
1002179,6
1002180,2
1002182,3
1002183,1
1002185,7
1002188,3
1002191,3
1002192,1
1002194,3
1002196,4
1002200,1
1002201,5
1002202,3
1002208,5
1002213,2
1002218,2
1002219,5
1002220,1
1002221,1
1002222,11
1002226,4
1002228,10
1002232,4
1002235,3
1002237,9
1002244,3
1002246,8
1002247,3
100225,2
1002251,5
1002253,2
1002254,2
1002257,2
100226,2
1002260,1
1002261,6
1002263,2
1002267,2
100227,1
1002271,3
1002276,1
1002284,2
1002285,1
1002286,1
100229,1
1002290,1
1002291,1
1002295,3
1002296,3
1002297,2
1002306,1
1002307,10
1002308,1
1002310,5
1002311,2
1002315,1
1002316,2
1002317,3
1002321,2
1002325,1
1002326,5
1002328,1
1002330,3
1002331,7
1002332,1
1002339,1
100234,6
1002340,13
1002349,5
1002350,2
1002351,19
1002357,6
1002358,10
1002365,3
100237,1
1002375,1
1002377,4
1002378,1
1002379,4
1002380,3
1002383,3
1002387,7
1002388,5
1002392,3
10024,6
100241,2
1002412,1
1002413,5
1002416,2
100242,5
1002421,1
1002423,1
1002426,1
1002428,3
100243,2
1002435,3
1002437,1
1002449,5
1002452,6
1002453,1
1002454,4
1002460,2
1002463,1
1002464,1
1002466,2
1002468,9
1002473,2
1002477,4
1002478,1
1002479,1
1002484,1
100249,2
1002494,1
1002504,3
1002508,1
1002512,1
1002520,4
1002526,7
1002534,4
1002542,1
1002547,1
1002564,2
1002566,5
100257,6
1002574,2
1002578,4
1002587,5
1002589,8
100259,1
1002591,1
1002593,1
1002597,2
100261,2
1002618,7
1002637,7
100264,2
1002642,1
1002661,1
1002672,3
1002684,2
1002685,4
1002696,2
10027,3
1002705,7
1002714,3
1002725,2
1002756,2
1002763,12
1002766,1
1002767,1
100277,1
1002771,1
100279,3
1002793,1
1002831,2
100284,1
1002846,1
1002847,3
100285,1
1002862,2
1002878,3
1002886,7
1002890,1
1002909,6
100292,2
1002927,5
1002928,5
1002931,2
1002934,4
100294,5
1002940,4
1002943,2
1002970,6
1002975,1
1002980,1
1002992,2
1002996,1
1003022,8
1003027,4
1003041,4
1003044,3
1003047,2
1003052,1
1003057,1
1003063,2
1003065,5
100307,2
1003071,1
1003073,1
1003076,3
100308,1
1003093,1
1003095,4
1003110,2
1003122,1
1003123,1
1003124,1
100313,1
1003131,5
1003152,2
1003157,2
1003163,5
1003171,2
1003176,2
1003177,6
100318,2
1003183,4
1003184,2
1003190,1
1003191,6
1003199,1
1003200,5
1003221,1
1003226,1
1003227,1
1003230,1
1003239,3
100324,2
1003249,6
1003250,1
1003264,3
1003273,4
1003274,1
1003281,1
1003283,1
1003292,1
1003293,1
1003296,2
1003298,1
1003306,1
1003319,3
1003321,6
1003326,1
1003329,2
1003332,3
1003341,3
1003343,3
1003348,1
1003351,5
1003359,1
100339,1
1003390,4
1003397,2
10034,4
100340,3
1003410,2
1003422,3
1003428,8
1003432,1
1003440,2
1003457,1
100346,1
1003463,1
1003467,1
1003475,1
1003479,2
1003492,2
1003499,1
10035,4
1003509,4
1003510,7
1003512,1
1003514,2
1003531,3
1003550,2
1003553,2
1003559,4
100356,6
1003561,4
1003562,4
100357,2
1003571,2
1003584,2
1003586,5
1003598,1
1003610,3
1003611,6
1003612,1
1003627,2
1003628,4
1003629,1
100363,2
1003643,3
1003656,6
1003685,1
1003693,1
100370,2
1003703,2
1003707,3
1003711,3
1003716,9
1003724,5
1003725,1
1003733,1
1003740,3
1003743,1
1003748,1
1003756,1
1003757,1
1003761,1
1003766,2
1003767,3
100377,3
1003781,5
1003782,2
1003792,1
1003807,1
1003821,2
1003826,10
1003837,6
1003838,3
1003846,2
1003855,1
1003863,1
1003866,1
1003867,2
1003871,3
1003875,1
100388,3
1003885,4
1003887,1
1003893,1
1003894,1
1003901,31
1003906,9
1003912,1
1003914,1
1003938,2
1003940,3
1003941,4
1003947,1
100395,2
1003961,1
1003965,2
1003975,5
1003979,2
1003983,43
1003988,2
1003991,1
1003993,1
1003998,2
1004001,1
1004002,1
100401,2
1004019,2
1004020,1
1004021,3
1004026,1
1004032,2
1004068,4
1004073,1
1004075,4
1004082,2
1004087,2
1004096,12
1004106,3
1004115,1
1004118,1
1004122,3
1004140,1
1004146,1
1004161,2
1004165,4
1004172,5
1004183,2
1004192,3
1004196,2
1004201,1
1004207,1
1004212,3
1004228,6
1004232,3
1004238,8
1004246,1
1004259,3
1004269,4
1004274,2
1004277,1
100428,1
1004282,1
1004289,1
1004296,2
1004298,2
1004302,1
1004303,1
1004319,1
1004327,5
1004335,3
1004337,6
1004339,5
1004341,3
1004350,2
1004353,1
1004354,1
1004357,3
1004362,1
1004366,3
1004368,2
1004378,2
1004381,5
1004396,2
10044,2
100440,1
1004403,2
1004405,2
1004406,3
1004410,2
1004413,2
1004420,3
1004426,1
1004427,1
1004441,1
1004442,4
1004443,1
1004444,2
1004446,2
1004448,7
1004454,2
1004458,12
1004463,9
1004466,2
1004467,1
1004471,3
1004474,1
1004477,3
1004490,3
1004497,1
10045,1
1004504,4
100451,3
1004516,2
1004523,6
100453,1
1004533,2
1004538,3
1004555,2
1004560,4
1004562,1
1004565,2
1004570,1
1004572,6
1004577,3
1004580,1
1004584,15
1004599,1
1004603,6
1004604,1
1004606,3
1004608,1
1004611,1
1004651,3
1004659,2
1004663,6
1004681,3
1004682,3
1004684,1
1004701,2
1004726,10
1004730,3
1004737,2
1004743,2
1004745,8
1004751,2
100477,6
1004775,1
1004778,1
1004785,6
1004792,7
1004800,1
1004807,5
1004810,2
1004829,2
100483,6
1004834,2
1004835,8
1004839,4
1004841,2
1004842,1
1004862,2
1004879,6
1004881,19
1004886,1
1004895,3
10049,1
1004906,3
1004929,2
100493,2
1004936,2
1004944,1
1004945,4
1004958,4
1004960,1
1004964,6
1004973,2
1004974,2
1004993,2
100501,1
1005016,2
1005022,1
1005035,1
1005055,3
1005070,1
1005074,6
1005077,2
1005082,2
1005085,1
1005103,2
1005115,1
1005117,1
1005124,10
1005129,1
1005131,1
1005134,2
1005135,1
1005166,5
1005179,2
1005186,2
1005188,2
1005196,1
1005215,2
1005218,2
100523,3
1005233,3
1005249,1
1005256,1
1005257,1
1005259,21
1005268,1
1005269,3
100528,6
1005281,3
1005283,2
1005284,11
1005292,4
1005293,4
1005294,5
10053,1
1005304,1
100531,2
1005311,2
1005313,2
1005314,1
1005319,1
1005320,3
1005324,4
1005329,1
1005337,5
1005338,4
1005345,3
1005346,1
1005366,2
1005383,1
100540,4
1005401,2
1005407,4
1005412,1
1005413,1
1005414,4
1005417,5
1005419,7
1005422,3
1005430,2
1005431,1
1005442,1
1005444,1
1005455,3
1005459,1
1005468,1
1005472,1
1005473,1
1005474,4
1005482,3
1005487,1
1005490,1
1005498,5
1005501,2
1005502,3
1005505,2
1005507,1
1005521,3
1005522,1
1005524,1
1005541,2
1005545,2
1005548,2
1005551,3
1005559,3
1005564,5
1005571,3
1005572,3
1005585,2
100561,2
1005616,7
1005626,3
1005627,1
1005649,12
1005659,1
1005661,3
100567,2
1005681,2
1005688,7
1005693,1
1005694,1
10057,5
1005701,2
1005703,8
1005704,4
1005705,2
1005706,1
1005707,3
1005709,15
1005712,5
1005713,4
1005738,2
1005742,4
1005744,1
1005746,7
1005752,4
1005758,4
1005760,4
1005766,1
1005767,1
1005771,2
1005775,1
1005779,2
1005785,2
1005787,2
1005788,1
100580,6
1005807,4
1005822,2
1005832,6
1005834,2
1005837,1
1005838,4
1005845,5
1005860,3
1005864,2
1005866,4
1005874,4
1005877,3
1005880,1
1005897,3
1005906,3
1005909,3
1005910,2
1005916,8
1005924,5
1005939,1
1005945,2
100595,2
1005952,3
1005953,3
1005961,4
1005981,1
1005982,2
1005985,5
100599,6
1005990,3
1005995,6
1005996,2
100600,3
1006002,1
1006003,5
1006015,2
1006021,1
1006028,1
1006040,2
1006063,1
1006079,1
1006084,1
1006097,4
1006102,1
1006110,7
1006121,1
1006126,3
100614,2
1006141,9
100615,2
1006159,3
1006173,3
1006178,1
1006181,3
1006204,3
1006207,3
1006224,3
1006236,1
1006252,5
1006255,2
1006260,1
1006261,1
1006262,12
1006267,6
1006274,8
1006288,1
1006306,2
1006307,12
1006309,1
1006312,5
1006317,1
1006322,5
1006336,1
1006351,1
1006354,3
1006389,5
1006392,2
1006394,1
1006395,3
1006398,1
1006402,6
1006403,2
1006404,3
1006405,3
1006407,2
100641,1
1006411,2
1006422,2
1006432,3
1006439,1
1006446,8
1006448,4
1006451,5
1006453,4
1006469,5
1006470,1
1006471,7
1006480,1
1006481,1
1006482,6
1006495,1
1006498,1
1006510,3
1006513,3
1006525,3
1006538,2
1006543,1
1006553,5
1006563,1
1006566,2
1006582,5
1006585,1
1006586,3
1006590,1
1006593,1
1006597,12
1006601,3
1006616,12
1006618,1
100663,4
1006634,1
100664,1
1006647,1
1006651,5
1006652,1
1006653,9
1006660,2
1006666,3
1006670,1
1006678,1
1006698,2
1006704,1
1006707,4
1006736,2
1006740,4
1006745,14
1006754,2
1006765,5
1006767,2
1006768,2
1006777,2
100678,11
1006784,1
1006803,3
1006817,1
1006823,2
1006850,1
1006851,5
1006864,4
1006870,1
1006872,23
100688,2
1006887,8
1006889,6
1006894,4
1006897,16
1006917,1
1006919,3
1006920,7
1006925,1
1006935,4
1006938,3
1006939,2
1006940,2
1006943,1
1006954,3
1006964,4
1006977,1
1006984,1
1006992,2
100700,2
1007004,4
1007006,1
1007017,2
100702,1
1007020,4
1007027,3
1007028,1
1007031,2
1007035,13
1007037,2
1007046,2
1007057,1
1007058,2
1007071,24
1007076,3
1007077,1
1007078,15
1007082,3
1007088,2
1007094,1
1007112,5
100712,1
1007123,3
1007148,7
1007155,4
1007163,5
1007171,4
1007181,9
100719,1
1007190,4
1007192,2
1007200,1
1007201,2
1007202,1
1007217,1
1007221,1
1007222,1
1007225,4
1007231,6
1007246,1
1007248,4
1007250,1
1007253,4
1007255,5
1007260,1
1007274,1
1007275,1
1007280,1
1007294,4
1007313,1
1007314,1
1007317,2
1007319,7
1007323,1
1007334,1
1007335,16
1007339,2
100734,2
1007349,4
1007353,2
1007356,3
1007371,1
1007387,7
1007388,2
1007391,3
1007393,2
1007396,2
100740,3
1007401,2
1007402,3
1007441,2
1007445,2
1007452,2
1007453,6
1007476,3
1007479,4
1007484,3
1007486,1
1007495,1
10075,2
1007501,9
1007503,2
1007506,1
1007511,2
1007513,3
1007539,2
1007550,1
100757,3
1007573,1
1007579,5
1007583,2
1007595,5
1007596,3
1007597,2
100760,3
1007601,5
1007609,1
1007617,1
100762,2
1007624,1
1007629,3
1007635,1
1007642,1
1007644,1
1007659,1
1007665,1
1007670,18
1007671,2
1007680,1
1007688,2
1007691,1
1007699,1
1007704,4
1007712,1
100772,2
1007724,1
1007739,2
1007747,6
1007753,1
1007755,5
1007770,3
1007778,2
1007779,1
1007782,4
1007786,12
1007791,2
10078,1
1007802,3
1007808,1
100781,1
1007819,1
1007833,1
1007839,4
1007843,1
1007848,5
1007851,2
1007857,3
1007860,1
1007870,4
1007879,2
1007884,2
1007890,1
1007894,1
1007906,2
1007907,4
1007912,14
1007919,5
1007925,5
1007928,1
1007934,3
100794,2
1007944,2
1007952,13
1007957,1
1007963,3
1007965,3
100797,5
1007976,3
1007983,3
1007993,3
100800,1
1008003,3
1008008,1
1008010,1
100803,4
1008037,1
1008042,1
1008044,1
1008055,1
1008062,5
1008065,4
1008078,1
1008082,5
1008085,10
1008097,3
1008100,4
1008102,1
1008106,4
1008107,2
100812,5
1008120,1
1008131,4
1008137,5
100814,2
1008148,2
100815,1
1008151,1
1008152,2
100816,1
1008162,2
1008174,8
1008183,4
1008184,2
1008187,4
100821,3
1008212,3
1008215,2
1008217,2
100822,2
1008221,9
1008230,11
1008231,1
1008241,3
1008245,7
1008253,1
1008255,1
1008257,1
1008258,1
1008275,20
1008287,2
1008289,5
1008295,4
1008302,1
1008323,1
1008333,3
1008349,1
1008366,2
1008370,3
1008376,1
1008378,4
1008380,57
1008382,1
1008385,4
1008387,1
1008391,4
1008392,1
1008401,1
1008405,3
1008411,1
1008415,1
1008418,1
1008425,3
1008427,2
1008429,2
1008430,4
100847,2
1008481,2
1008485,2
1008489,1
1008500,2
1008502,2
1008531,1
1008557,5
100856,2
1008586,2
1008587,4
1008590,1
10086,2
100860,6
1008612,2
1008614,3
1008615,1
100865,1
1008652,1
1008661,2
1008665,2
1008674,1
1008681,4
1008684,1
1008685,2
1008698,3
100871,3
1008711,1
1008726,2
1008729,2
1008733,2
1008737,1
1008744,1
1008748,2
1008749,1
1008757,1
1008764,2
100877,1
1008777,1
1008779,4
1008786,7
1008791,1
1008793,1
1008794,3
1008799,15
1008820,3
1008829,1
1008830,17
1008832,1
1008834,3
1008842,8
1008846,1
1008849,2
1008860,2
1008868,1
1008870,5
1008879,2
1008882,2
1008883,3
1008891,5
1008899,1
1008904,7
1008905,1
1008906,3
1008909,1
100891,2
1008916,5
100893,1
1008933,2
1008934,2
1008938,1
1008956,1
1008961,4
1008963,1
1008972,11
1008985,2
1008993,6
1008994,9
1009003,1
1009005,3
100901,1
1009011,1
1009013,6
1009021,2
1009023,1
1009026,3
1009046,6
1009050,1
1009056,3
1009070,8
1009073,1
1009104,2
1009107,1
1009121,4
1009123,1
1009129,4
1009135,2
1009141,1
1009153,3
1009155,3
1009158,3
1009165,1
10092,1
1009202,3
1009211,9
1009217,1
1009221,3
1009225,3
1009233,2
1009237,2
1009243,1
100925,4
1009254,1
1009257,4
100927,1
1009283,2
1009285,4
1009291,2
1009322,1
1009328,1
100933,1
1009352,2
1009384,1
1009385,2
1009391,6
1009396,2
1009402,2
1009405,3
1009407,2
1009410,8
1009415,1
1009417,6
1009418,1
1009420,1
1009424,1
1009437,5
1009440,1
1009441,2
1009457,2
1009465,1
1009469,2
1009472,2
1009501,17
1009508,2
1009512,3
1009516,6
1009524,3
1009529,4
1009532,6
1009533,2
1009542,2
1009551,2
1009553,1
1009558,1
1009559,4
1009575,2
1009587,3
10096,1
1009608,3
1009611,7
1009619,2
1009623,2
1009626,1
1009630,1
1009639,3
1009645,1
1009657,2
1009666,4
1009673,4
1009684,2
1009687,1
100970,1
1009712,4
1009718,3
1009719,2
1009722,3
1009724,1
1009741,2
1009748,1
1009753,3
1009765,2
1009768,4
100977,3
1009771,3
1009776,1
1009798,3
1009803,2
1009822,7
1009825,2
1009832,2
1009833,6
1009853,1
1009859,5
1009860,1
1009869,2
1009880,3
1009884,5
1009888,2
1009898,5
100992,2
1009932,2
1009933,2
1009934,11
1009938,2
1009940,2
1009947,1
1009948,2
1009949,1
1009950,1
1009982,1
1009997,4
1010001,2
1010006,4
101001,4
1010016,2
1010017,2
101003,6
1010032,3
1010040,3
1010043,2
1010044,3
1010047,2
1010050,1
1010051,5
1010079,5
101008,12
1010088,1
1010093,4
1010121,2
1010125,5
1010129,3
101013,1
1010133,1
1010149,1
1010155,1
1010157,3
1010170,7
1010173,2
1010177,1
1010189,2
1010198,2
1010199,1
1010204,1
1010205,2
1010208,3
101021,2
1010210,1
1010211,2
1010214,1
1010215,2
1010219,14
101023,6
1010231,1
1010238,2
101024,2
1010254,1
1010263,1
1010267,4
1010269,3
1010279,3
1010280,8
1010281,7
1010288,30
1010299,10
1010306,1
1010311,1
1010325,1
1010327,4
101033,2
1010330,1
1010333,16
1010343,2
1010347,3
1010362,3
1010373,2
1010376,1
1010381,6
1010391,2
1010396,3
1010399,6
1010411,3
1010416,3
1010418,2
1010427,2
1010433,2
1010439,1
1010445,3
1010453,6
1010455,1
1010456,1
101047,3
1010478,11
1010480,1
1010504,3
1010507,3
1010508,1
1010510,4
1010515,1
1010519,2
1010533,2
1010534,2
1010536,1
1010537,1
1010539,2
101056,1
1010560,5
1010564,1
1010566,2
1010568,2
1010572,2
101058,1
1010582,3
1010583,2
1010590,2
1010593,1
1010596,3
1010598,4
1010599,1
1010603,10
1010608,1
1010611,1
1010612,1
101063,2
1010630,2
1010638,4
1010641,1
1010655,2
1010658,1
1010664,5
1010690,2
1010691,5
1010694,1
1010697,1
1010704,3
1010706,2
1010711,3
1010713,1
1010736,2
1010754,2
1010755,4
1010765,1
1010780,2
1010783,2
1010784,4
1010785,10
1010806,3
1010816,3
1010817,1
101082,7
1010836,1
1010839,6
101084,1
1010853,3
1010857,3
1010861,3
1010864,6
1010869,9
1010870,7
1010874,1
101088,3
1010896,4
1010899,6
1010912,1
1010915,4
1010919,3
101092,5
1010944,5
1010945,3
1010947,5
1010953,4
101096,6
1010978,7
1010981,4
1010995,1
1011004,2
1011005,4
101101,1
1011017,1
1011021,11
1011024,1
1011030,1
1011036,2
101104,2
1011050,4
1011052,1
1011062,1
1011072,1
1011079,2
1011084,3
1011086,2
1011092,1
1011096,4
10111,2
1011100,1
1011108,2
1011118,2
101112,2
1011120,3
1011128,2
101114,2
1011169,1
1011171,3
1011172,3
1011173,4
1011181,6
1011202,1
1011207,4
1011214,1
1011217,3
1011219,4
1011222,1
1011227,3
1011235,3
1011248,4
1011254,3
1011258,1
1011266,2
1011272,3
1011290,1
1011293,1
1011322,3
1011326,3
1011332,2
1011340,1
1011361,2
1011365,3
1011387,2
1011388,1
1011390,15
1011391,3
1011397,1
10114,3
1011400,2
1011402,3
1011409,3
1011415,1
1011419,2
1011420,2
1011431,1
101144,1
1011470,5
1011487,3
1011490,1
1011499,4
101150,1
1011521,6
1011527,3
1011529,1
1011565,3
1011567,3
101157,1
1011574,1
1011581,7
1011591,4
1011624,1
1011631,2
1011633,1
1011647,2
1011648,1
101165,2
1011651,3
1011652,12
1011655,11
1011656,1
1011669,1
1011676,1
1011681,1
1011685,1
1011697,2
1011698,1
1011699,3
1011703,1
1011704,4
1011705,4
1011709,7
1011725,4
1011729,4
1011730,1
1011745,4
1011749,2
1011752,2
1011758,1
1011760,2
1011773,1
1011789,2
1011793,7
1011799,5
1011802,2
1011816,2
101182,3
1011826,1
1011828,1
1011839,2
1011841,1
1011867,3
1011868,1
1011872,11
101188,8
1011880,3
1011886,2
101189,2
1011891,1
1011892,1
101190,2
1011911,1
1011919,2
1011921,1
1011923,1
1011937,5
1011943,6
1011960,5
1011961,3
1011981,1
1011986,5
1011992,3
1011996,6
1012000,4
1012002,9
1012012,1
1012017,2
1012022,6
1012028,1
1012031,2
1012033,1
101204,2
1012040,4
1012048,3
1012050,1
1012060,2
1012062,2
1012070,2
1012075,5
1012082,1
1012086,2
1012093,4
101210,1
1012102,4
1012104,2
1012105,9
1012110,4
1012116,1
101212,9
1012125,2
1012133,1
1012148,17
1012155,1
1012164,1
101217,1
1012191,3
1012198,1
1012208,1
1012222,1
1012232,7
1012237,1
1012252,2
1012257,2
1012275,8
1012277,4
1012284,3
1012287,2
1012290,4
1012293,4
1012296,2
1012298,4
1012299,1
101230,2
101231,2
1012313,1
1012333,4
1012338,6
1012344,2
1012352,1
1012358,7
1012373,6
1012380,2
101239,4
1012395,7
1012403,1
1012411,4
1012415,4
1012420,3
1012426,7
1012445,1
101245,3
1012459,3
1012467,1
1012469,4
1012472,1
1012474,1
1012478,1
1012489,1
101249,8
1012498,3
1012501,4
1012512,1
1012516,2
1012524,2
1012525,10
1012528,1
1012534,4
1012535,2
1012536,2
1012541,1
1012550,2
1012553,1
1012578,1
1012579,2
1012597,1
101260,2
1012611,2
1012621,1
1012626,1
1012638,3
1012639,2
1012645,5
1012647,1
1012651,2
1012661,6
1012664,3
1012665,1
1012667,3
1012670,3
1012673,1
1012677,2
1012682,8
101269,1
1012693,3
1012727,1
1012731,2
1012736,3
1012737,1
1012741,5
1012743,1
1012745,4
1012774,2
1012784,2
1012793,3
1012795,3
10128,1
1012804,3
1012806,6
1012808,2
1012819,2
1012826,2
1012830,2
1012841,5
1012849,1
1012851,6
1012881,6
1012883,1
1012894,1
1012895,5
1012896,1
1012904,2
1012911,1
1012915,1
1012919,2
1012925,3
1012927,2
1012945,3
1012947,1
1012950,2
101296,1
1012967,2
1012985,2
1012989,2
101300,2
1013004,5
1013013,16
1013015,2
1013021,1
1013023,3
1013026,1
1013027,2
101303,4
1013030,2
1013033,1
101305,6
101306,4
1013063,2
1013086,5
1013088,1
1013089,4
1013097,1
