用户ID,最近购买时间,R值
142595,2017-11-25,1
142949,2017-11-25,1
143378,2017-11-25,1
143598,2017-11-25,1
143639,2017-11-25,1
143722,2017-11-25,1
143748,2017-11-25,1
143934,2017-11-25,1
144010,2017-11-25,1
144104,2017-11-25,1
144193,2017-11-25,1
144298,2017-11-25,1
144330,2017-11-25,1
144377,2017-11-25,1
144403,2017-11-25,1
144408,2017-11-25,1
144687,2017-11-25,1
144690,2017-11-25,1
144763,2017-11-25,1
144946,2017-11-25,1
145006,2017-11-25,1
145142,2017-11-25,1
145174,2017-11-25,1
145303,2017-11-25,1
145512,2017-11-25,1
146695,2017-11-25,1
146746,2017-11-25,1
146800,2017-11-25,1
146810,2017-11-25,1
146841,2017-11-25,1
14712,2017-11-25,1
147249,2017-11-25,1
14728,2017-11-25,1
147592,2017-11-25,1
147624,2017-11-25,1
147787,2017-11-25,1
147804,2017-11-25,1
14788,2017-11-25,1
14791,2017-11-25,1
147949,2017-11-25,1
148133,2017-11-25,1
148205,2017-11-25,1
148294,2017-11-25,1
148807,2017-11-25,1
149023,2017-11-25,1
149129,2017-11-25,1
149140,2017-11-25,1
149292,2017-11-25,1
149328,2017-11-25,1
149332,2017-11-25,1
149418,2017-11-25,1
149497,2017-11-25,1
149512,2017-11-25,1
150083,2017-11-25,1
150113,2017-11-25,1
150123,2017-11-25,1
150297,2017-11-25,1
150377,2017-11-25,1
150709,2017-11-25,1
150887,2017-11-25,1
151210,2017-11-25,1
151423,2017-11-25,1
15170,2017-11-25,1
151856,2017-11-25,1
151905,2017-11-25,1
151984,2017-11-25,1
152089,2017-11-25,1
152714,2017-11-25,1
152776,2017-11-25,1
152877,2017-11-25,1
15329,2017-11-25,1
153502,2017-11-25,1
153836,2017-11-25,1
153994,2017-11-25,1
154106,2017-11-25,1
154443,2017-11-25,1
154519,2017-11-25,1
154670,2017-11-25,1
154719,2017-11-25,1
154788,2017-11-25,1
154801,2017-11-25,1
155014,2017-11-25,1
155073,2017-11-25,1
155115,2017-11-25,1
155183,2017-11-25,1
155708,2017-11-25,1
155713,2017-11-25,1
155841,2017-11-25,1
1559,2017-11-25,1
156104,2017-11-25,1
156714,2017-11-25,1
157171,2017-11-25,1
157346,2017-11-25,1
15754,2017-11-25,1
15799,2017-11-25,1
157996,2017-11-25,1
158190,2017-11-25,1
158220,2017-11-25,1
158786,2017-11-25,1
158925,2017-11-25,1
159048,2017-11-25,1
159284,2017-11-25,1
159382,2017-11-25,1
159588,2017-11-25,1
159716,2017-11-25,1
15975,2017-11-25,1
159757,2017-11-25,1
160149,2017-11-25,1
1606,2017-11-25,1
160627,2017-11-25,1
160662,2017-11-25,1
160712,2017-11-25,1
160746,2017-11-25,1
160827,2017-11-25,1
160897,2017-11-25,1
161075,2017-11-25,1
161326,2017-11-25,1
161470,2017-11-25,1
161486,2017-11-25,1
161544,2017-11-25,1
161910,2017-11-25,1
162067,2017-11-25,1
162086,2017-11-25,1
162161,2017-11-25,1
16250,2017-11-25,1
162580,2017-11-25,1
162749,2017-11-25,1
163053,2017-11-25,1
163161,2017-11-25,1
163179,2017-11-25,1
163184,2017-11-25,1
163634,2017-11-25,1
163877,2017-11-25,1
16402,2017-11-25,1
164127,2017-11-25,1
16430,2017-11-25,1
164386,2017-11-25,1
164504,2017-11-25,1
164527,2017-11-25,1
164547,2017-11-25,1
16459,2017-11-25,1
16497,2017-11-25,1
165,2017-11-25,1
165065,2017-11-25,1
165101,2017-11-25,1
16521,2017-11-25,1
165369,2017-11-25,1
165657,2017-11-25,1
166423,2017-11-25,1
166574,2017-11-25,1
166623,2017-11-25,1
166722,2017-11-25,1
166725,2017-11-25,1
166829,2017-11-25,1
167027,2017-11-25,1
167183,2017-11-25,1
167190,2017-11-25,1
167197,2017-11-25,1
167269,2017-11-25,1
167448,2017-11-25,1
167536,2017-11-25,1
167713,2017-11-25,1
168198,2017-11-25,1
168512,2017-11-25,1
16859,2017-11-25,1
168594,2017-11-25,1
168668,2017-11-25,1
169012,2017-11-25,1
169380,2017-11-25,1
169425,2017-11-25,1
17010,2017-11-25,1
17031,2017-11-25,1
170446,2017-11-25,1
170566,2017-11-25,1
170625,2017-11-25,1
170707,2017-11-25,1
170793,2017-11-25,1
170939,2017-11-25,1
170965,2017-11-25,1
171066,2017-11-25,1
171309,2017-11-25,1
171395,2017-11-25,1
171423,2017-11-25,1
171434,2017-11-25,1
1715,2017-11-25,1
171549,2017-11-25,1
171681,2017-11-25,1
171807,2017-11-25,1
171816,2017-11-25,1
171820,2017-11-25,1
172136,2017-11-25,1
172160,2017-11-25,1
172354,2017-11-25,1
172490,2017-11-25,1
172681,2017-11-25,1
172724,2017-11-25,1
172853,2017-11-25,1
172861,2017-11-25,1
172931,2017-11-25,1
1731,2017-11-25,1
173112,2017-11-25,1
17321,2017-11-25,1
173240,2017-11-25,1
173617,2017-11-25,1
173661,2017-11-25,1
173671,2017-11-25,1
173806,2017-11-25,1
17390,2017-11-25,1
173926,2017-11-25,1
174151,2017-11-25,1
174301,2017-11-25,1
174313,2017-11-25,1
174420,2017-11-25,1
174625,2017-11-25,1
174884,2017-11-25,1
174914,2017-11-25,1
175099,2017-11-25,1
175376,2017-11-25,1
175469,2017-11-25,1
175505,2017-11-25,1
175532,2017-11-25,1
175584,2017-11-25,1
175601,2017-11-25,1
175668,2017-11-25,1
175820,2017-11-25,1
175836,2017-11-25,1
175951,2017-11-25,1
176044,2017-11-25,1
176080,2017-11-25,1
176128,2017-11-25,1
176230,2017-11-25,1
176300,2017-11-25,1
176312,2017-11-25,1
176569,2017-11-25,1
176890,2017-11-25,1
177006,2017-11-25,1
17721,2017-11-25,1
177683,2017-11-25,1
177972,2017-11-25,1
178302,2017-11-25,1
178879,2017-11-25,1
178888,2017-11-25,1
1789,2017-11-25,1
179017,2017-11-25,1
179072,2017-11-25,1
179158,2017-11-25,1
179176,2017-11-25,1
179675,2017-11-25,1
179914,2017-11-25,1
180193,2017-11-25,1
180392,2017-11-25,1
180413,2017-11-25,1
180511,2017-11-25,1
180570,2017-11-25,1
180706,2017-11-25,1
180721,2017-11-25,1
18111,2017-11-25,1
181272,2017-11-25,1
181547,2017-11-25,1
181935,2017-11-25,1
182148,2017-11-25,1
182278,2017-11-25,1
182284,2017-11-25,1
182353,2017-11-25,1
18236,2017-11-25,1
182437,2017-11-25,1
182653,2017-11-25,1
18273,2017-11-25,1
183130,2017-11-25,1
183328,2017-11-25,1
18334,2017-11-25,1
183359,2017-11-25,1
183398,2017-11-25,1
183471,2017-11-25,1
183558,2017-11-25,1
184442,2017-11-25,1
184714,2017-11-25,1
184815,2017-11-25,1
184898,2017-11-25,1
184951,2017-11-25,1
18497,2017-11-25,1
185161,2017-11-25,1
185393,2017-11-25,1
185515,2017-11-25,1
186403,2017-11-25,1
186428,2017-11-25,1
186504,2017-11-25,1
186635,2017-11-25,1
186749,2017-11-25,1
186787,2017-11-25,1
18686,2017-11-25,1
186996,2017-11-25,1
187016,2017-11-25,1
187606,2017-11-25,1
187715,2017-11-25,1
187897,2017-11-25,1
188199,2017-11-25,1
188375,2017-11-25,1
188422,2017-11-25,1
189023,2017-11-25,1
189210,2017-11-25,1
189428,2017-11-25,1
189783,2017-11-25,1
189904,2017-11-25,1
190064,2017-11-25,1
19007,2017-11-25,1
19025,2017-11-25,1
190276,2017-11-25,1
190312,2017-11-25,1
190367,2017-11-25,1
190516,2017-11-25,1
190575,2017-11-25,1
190940,2017-11-25,1
191609,2017-11-25,1
191719,2017-11-25,1
191766,2017-11-25,1
191808,2017-11-25,1
191854,2017-11-25,1
192037,2017-11-25,1
19223,2017-11-25,1
192278,2017-11-25,1
19243,2017-11-25,1
192493,2017-11-25,1
192742,2017-11-25,1
192774,2017-11-25,1
193094,2017-11-25,1
193175,2017-11-25,1
193381,2017-11-25,1
193464,2017-11-25,1
193503,2017-11-25,1
193700,2017-11-25,1
194046,2017-11-25,1
194235,2017-11-25,1
194240,2017-11-25,1
194315,2017-11-25,1
19580,2017-11-25,1
195862,2017-11-25,1
196216,2017-11-25,1
196279,2017-11-25,1
196350,2017-11-25,1
196384,2017-11-25,1
196956,2017-11-25,1
197344,2017-11-25,1
197665,2017-11-25,1
197680,2017-11-25,1
197775,2017-11-25,1
197954,2017-11-25,1
197985,2017-11-25,1
198079,2017-11-25,1
198331,2017-11-25,1
198714,2017-11-25,1
198940,2017-11-25,1
199443,2017-11-25,1
199480,2017-11-25,1
199895,2017-11-25,1
200019,2017-11-25,1
200121,2017-11-25,1
200218,2017-11-25,1
200346,2017-11-25,1
200696,2017-11-25,1
200708,2017-11-25,1
200807,2017-11-25,1
200856,2017-11-25,1
200886,2017-11-25,1
201089,2017-11-25,1
201198,2017-11-25,1
201240,2017-11-25,1
201412,2017-11-25,1
201429,2017-11-25,1
201655,2017-11-25,1
202115,2017-11-25,1
202256,2017-11-25,1
202293,2017-11-25,1
203317,2017-11-25,1
203421,2017-11-25,1
203630,2017-11-25,1
203677,2017-11-25,1
20385,2017-11-25,1
20393,2017-11-25,1
204020,2017-11-25,1
204035,2017-11-25,1
204597,2017-11-25,1
204753,2017-11-25,1
204824,2017-11-25,1
204912,2017-11-25,1
205237,2017-11-25,1
205416,2017-11-25,1
20625,2017-11-25,1
20694,2017-11-25,1
207340,2017-11-25,1
207386,2017-11-25,1
207564,2017-11-25,1
207817,2017-11-25,1
207992,2017-11-25,1
20810,2017-11-25,1
208266,2017-11-25,1
208319,2017-11-25,1
208481,2017-11-25,1
208576,2017-11-25,1
20888,2017-11-25,1
208895,2017-11-25,1
209092,2017-11-25,1
209307,2017-11-25,1
209464,2017-11-25,1
209536,2017-11-25,1
209584,2017-11-25,1
209851,2017-11-25,1
20986,2017-11-25,1
210030,2017-11-25,1
210247,2017-11-25,1
210421,2017-11-25,1
210509,2017-11-25,1
210807,2017-11-25,1
210999,2017-11-25,1
211137,2017-11-25,1
211233,2017-11-25,1
21124,2017-11-25,1
211522,2017-11-25,1
211585,2017-11-25,1
211590,2017-11-25,1
211803,2017-11-25,1
211968,2017-11-25,1
212040,2017-11-25,1
212246,2017-11-25,1
212395,2017-11-25,1
212600,2017-11-25,1
213020,2017-11-25,1
213121,2017-11-25,1
213363,2017-11-25,1
213859,2017-11-25,1
213877,2017-11-25,1
213999,2017-11-25,1
21410,2017-11-25,1
214345,2017-11-25,1
214474,2017-11-25,1
214512,2017-11-25,1
214597,2017-11-25,1
214788,2017-11-25,1
214943,2017-11-25,1
214958,2017-11-25,1
215441,2017-11-25,1
215503,2017-11-25,1
21563,2017-11-25,1
215843,2017-11-25,1
215936,2017-11-25,1
216083,2017-11-25,1
216187,2017-11-25,1
216209,2017-11-25,1
216455,2017-11-25,1
21646,2017-11-25,1
216733,2017-11-25,1
216739,2017-11-25,1
21722,2017-11-25,1
217308,2017-11-25,1
217358,2017-11-25,1
217416,2017-11-25,1
217434,2017-11-25,1
21754,2017-11-25,1
217792,2017-11-25,1
217978,2017-11-25,1
217993,2017-11-25,1
218358,2017-11-25,1
21843,2017-11-25,1
21872,2017-11-25,1
218796,2017-11-25,1
218899,2017-11-25,1
219177,2017-11-25,1
219228,2017-11-25,1
219430,2017-11-25,1
219464,2017-11-25,1
219558,2017-11-25,1
219612,2017-11-25,1
21967,2017-11-25,1
219730,2017-11-25,1
219806,2017-11-25,1
219832,2017-11-25,1
219835,2017-11-25,1
220006,2017-11-25,1
220817,2017-11-25,1
221003,2017-11-25,1
221055,2017-11-25,1
221117,2017-11-25,1
221363,2017-11-25,1
221577,2017-11-25,1
221692,2017-11-25,1
221735,2017-11-25,1
221824,2017-11-25,1
221955,2017-11-25,1
222373,2017-11-25,1
222420,2017-11-25,1
222431,2017-11-25,1
222487,2017-11-25,1
222526,2017-11-25,1
22262,2017-11-25,1
222724,2017-11-25,1
222817,2017-11-25,1
22286,2017-11-25,1
222887,2017-11-25,1
223526,2017-11-25,1
2237,2017-11-25,1
223809,2017-11-25,1
223914,2017-11-25,1
223985,2017-11-25,1
224043,2017-11-25,1
224228,2017-11-25,1
224319,2017-11-25,1
22443,2017-11-25,1
22467,2017-11-25,1
224816,2017-11-25,1
224875,2017-11-25,1
224923,2017-11-25,1
225788,2017-11-25,1
225915,2017-11-25,1
225945,2017-11-25,1
226413,2017-11-25,1
226445,2017-11-25,1
226664,2017-11-25,1
227002,2017-11-25,1
227106,2017-11-25,1
227239,2017-11-25,1
227415,2017-11-25,1
227452,2017-11-25,1
227931,2017-11-25,1
228137,2017-11-25,1
228312,2017-11-25,1
228361,2017-11-25,1
228751,2017-11-25,1
228849,2017-11-25,1
229481,2017-11-25,1
229812,2017-11-25,1
229849,2017-11-25,1
229905,2017-11-25,1
229942,2017-11-25,1
229960,2017-11-25,1
23004,2017-11-25,1
230265,2017-11-25,1
230348,2017-11-25,1
230391,2017-11-25,1
230838,2017-11-25,1
231116,2017-11-25,1
231691,2017-11-25,1
231817,2017-11-25,1
232004,2017-11-25,1
232211,2017-11-25,1
232368,2017-11-25,1
232718,2017-11-25,1
232738,2017-11-25,1
232949,2017-11-25,1
233002,2017-11-25,1
233100,2017-11-25,1
233180,2017-11-25,1
233215,2017-11-25,1
233305,2017-11-25,1
233339,2017-11-25,1
23338,2017-11-25,1
233385,2017-11-25,1
233886,2017-11-25,1
233972,2017-11-25,1
234485,2017-11-25,1
234728,2017-11-25,1
234909,2017-11-25,1
235368,2017-11-25,1
235455,2017-11-25,1
23546,2017-11-25,1
235480,2017-11-25,1
23557,2017-11-25,1
235610,2017-11-25,1
235836,2017-11-25,1
235870,2017-11-25,1
236375,2017-11-25,1
236722,2017-11-25,1
236776,2017-11-25,1
237279,2017-11-25,1
237999,2017-11-25,1
238238,2017-11-25,1
238626,2017-11-25,1
23909,2017-11-25,1
239255,2017-11-25,1
239543,2017-11-25,1
239648,2017-11-25,1
23994,2017-11-25,1
240122,2017-11-25,1
240169,2017-11-25,1
240183,2017-11-25,1
240210,2017-11-25,1
240329,2017-11-25,1
240344,2017-11-25,1
24036,2017-11-25,1
240439,2017-11-25,1
240581,2017-11-25,1
240592,2017-11-25,1
240609,2017-11-25,1
241353,2017-11-25,1
241355,2017-11-25,1
241464,2017-11-25,1
241498,2017-11-25,1
241575,2017-11-25,1
241577,2017-11-25,1
241730,2017-11-25,1
24174,2017-11-25,1
242024,2017-11-25,1
242025,2017-11-25,1
242027,2017-11-25,1
242232,2017-11-25,1
242341,2017-11-25,1
242529,2017-11-25,1
242727,2017-11-25,1
242803,2017-11-25,1
242852,2017-11-25,1
243129,2017-11-25,1
243143,2017-11-25,1
243305,2017-11-25,1
243316,2017-11-25,1
243386,2017-11-25,1
243414,2017-11-25,1
243683,2017-11-25,1
243727,2017-11-25,1
243993,2017-11-25,1
24441,2017-11-25,1
244716,2017-11-25,1
244982,2017-11-25,1
245530,2017-11-25,1
245537,2017-11-25,1
245636,2017-11-25,1
246015,2017-11-25,1
246021,2017-11-25,1
246115,2017-11-25,1
246440,2017-11-25,1
246569,2017-11-25,1
246830,2017-11-25,1
246845,2017-11-25,1
24691,2017-11-25,1
247056,2017-11-25,1
247221,2017-11-25,1
247488,2017-11-25,1
247690,2017-11-25,1
248070,2017-11-25,1
24811,2017-11-25,1
24838,2017-11-25,1
248491,2017-11-25,1
248517,2017-11-25,1
248577,2017-11-25,1
248696,2017-11-25,1
248720,2017-11-25,1
248913,2017-11-25,1
249108,2017-11-25,1
249373,2017-11-25,1
249398,2017-11-25,1
24967,2017-11-25,1
249684,2017-11-25,1
249939,2017-11-25,1
250214,2017-11-25,1
250286,2017-11-25,1
25030,2017-11-25,1
250635,2017-11-25,1
250732,2017-11-25,1
250881,2017-11-25,1
251534,2017-11-25,1
25170,2017-11-25,1
251712,2017-11-25,1
251925,2017-11-25,1
251955,2017-11-25,1
252112,2017-11-25,1
252120,2017-11-25,1
252171,2017-11-25,1
252294,2017-11-25,1
252296,2017-11-25,1
252507,2017-11-25,1
252700,2017-11-25,1
252983,2017-11-25,1
253090,2017-11-25,1
253225,2017-11-25,1
253383,2017-11-25,1
253585,2017-11-25,1
253783,2017-11-25,1
253841,2017-11-25,1
253915,2017-11-25,1
253958,2017-11-25,1
254220,2017-11-25,1
25444,2017-11-25,1
254483,2017-11-25,1
254884,2017-11-25,1
254978,2017-11-25,1
255066,2017-11-25,1
255084,2017-11-25,1
255133,2017-11-25,1
255260,2017-11-25,1
25535,2017-11-25,1
255489,2017-11-25,1
256182,2017-11-25,1
25630,2017-11-25,1
256368,2017-11-25,1
256692,2017-11-25,1
256829,2017-11-25,1
256888,2017-11-25,1
256901,2017-11-25,1
256968,2017-11-25,1
257010,2017-11-25,1
25708,2017-11-25,1
25710,2017-11-25,1
257133,2017-11-25,1
257233,2017-11-25,1
257491,2017-11-25,1
257622,2017-11-25,1
258250,2017-11-25,1
258947,2017-11-25,1
259075,2017-11-25,1
259163,2017-11-25,1
259219,2017-11-25,1
259271,2017-11-25,1
259384,2017-11-25,1
259571,2017-11-25,1
259707,2017-11-25,1
259737,2017-11-25,1
259783,2017-11-25,1
260248,2017-11-25,1
260274,2017-11-25,1
260458,2017-11-25,1
260488,2017-11-25,1
260522,2017-11-25,1
260622,2017-11-25,1
260722,2017-11-25,1
260732,2017-11-25,1
260979,2017-11-25,1
26120,2017-11-25,1
261240,2017-11-25,1
261538,2017-11-25,1
261570,2017-11-25,1
261620,2017-11-25,1
261769,2017-11-25,1
261903,2017-11-25,1
262642,2017-11-25,1
262658,2017-11-25,1
262754,2017-11-25,1
263171,2017-11-25,1
263225,2017-11-25,1
263502,2017-11-25,1
263825,2017-11-25,1
263944,2017-11-25,1
264155,2017-11-25,1
264204,2017-11-25,1
26424,2017-11-25,1
264510,2017-11-25,1
264767,2017-11-25,1
264782,2017-11-25,1
264843,2017-11-25,1
264859,2017-11-25,1
265571,2017-11-25,1
265661,2017-11-25,1
265894,2017-11-25,1
266501,2017-11-25,1
266565,2017-11-25,1
266621,2017-11-25,1
266630,2017-11-25,1
26666,2017-11-25,1
266890,2017-11-25,1
266972,2017-11-25,1
26698,2017-11-25,1
267082,2017-11-25,1
267328,2017-11-25,1
267338,2017-11-25,1
267520,2017-11-25,1
267861,2017-11-25,1
267886,2017-11-25,1
268224,2017-11-25,1
268331,2017-11-25,1
268393,2017-11-25,1
268399,2017-11-25,1
268436,2017-11-25,1
268496,2017-11-25,1
268649,2017-11-25,1
268744,2017-11-25,1
268785,2017-11-25,1
268845,2017-11-25,1
268968,2017-11-25,1
269144,2017-11-25,1
269238,2017-11-25,1
269380,2017-11-25,1
269460,2017-11-25,1
269879,2017-11-25,1
269925,2017-11-25,1
269971,2017-11-25,1
27020,2017-11-25,1
27044,2017-11-25,1
