用户ID,购买次数,F值
1000917,2,1
1000919,1,1
100092,1,1
1000922,1,1
1000923,1,1
1000926,4,1
1000929,3,1
100093,1,1
1000935,7,2
1000936,2,1
1000937,4,1
100094,4,1
1000945,1,1
100095,1,1
1000950,6,2
1000958,3,1
1000959,1,1
100096,2,1
1000962,3,1
1000964,1,1
1000965,11,3
1000970,1,1
1000972,2,1
1000973,2,1
1000984,1,1
1000987,2,1
1000989,4,1
1000991,5,2
1000997,4,1
1001005,2,1
1001008,2,1
1001009,3,1
100101,28,4
1001017,2,1
1001018,1,1
1001021,2,1
1001023,1,1
1001024,2,1
1001025,2,1
1001026,6,2
100103,1,1
1001030,1,1
1001037,2,1
1001044,11,3
1001045,7,2
1001047,1,1
1001048,1,1
1001049,3,1
100105,3,1
1001050,4,1
1001051,5,2
1001052,1,1
1001054,6,2
100106,1,1
1001065,4,1
100107,3,1
1001081,5,2
1001082,5,2
1001084,3,1
1001088,2,1
1001089,3,1
100109,1,1
1001092,2,1
1001094,2,1
1001099,5,2
1001102,4,1
1001103,4,1
1001104,2,1
1001105,1,1
1001108,1,1
1001111,4,1
1001114,4,1
1001120,4,1
1001121,1,1
1001128,3,1
100113,3,1
1001131,4,1
1001138,2,1
1001139,17,0
1001145,5,2
1001148,1,1
1001151,3,1
1001154,1,1
100116,13,3
1001164,1,1
1001165,1,1
1001174,1,1
1001178,4,1
1001185,2,1
1001186,4,1
1001198,1,1
1001199,10,3
1001201,2,1
100121,5,2
1001212,4,1
100122,1,1
1001228,1,1
1001230,2,1
1001232,4,1
1001235,4,1
1001236,1,1
1001241,6,2
1001242,2,1
1001245,2,1
1001248,3,1
1001261,1,1
1001265,1,1
1001268,3,1
1001270,2,1
1001274,5,2
100128,2,1
1001286,2,1
100129,3,1
1001297,1,1
1001301,1,1
1001305,15,3
1001310,11,3
1001313,1,1
1001314,1,1
1001319,1,1
1001322,15,3
1001326,5,2
1001327,1,1
1001332,14,3
1001335,4,1
100134,14,3
1001343,3,1
1001346,1,1
1001347,3,1
1001348,5,2
1001352,2,1
1001359,2,1
1001360,1,1
1001369,2,1
1001373,5,2
1001375,10,3
1001378,8,2
1001381,2,1
1001390,1,1
1001392,5,2
1001402,3,1
1001404,2,1
1001409,2,1
100141,2,1
1001414,3,1
1001419,7,2
1001420,3,1
1001421,2,1
1001423,3,1
1001438,1,1
1001440,4,1
1001441,2,1
1001442,3,1
1001443,1,1
1001444,3,1
1001454,11,3
1001456,1,1
100146,4,1
1001460,1,1
1001461,6,2
1001463,5,2
1001466,5,2
1001472,5,2
1001476,2,1
1001478,4,1
1001482,1,1
1001489,1,1
1001492,1,1
1001505,2,1
1001512,1,1
1001515,5,2
1001521,1,1
1001524,1,1
1001531,2,1
1001532,3,1
1001534,1,1
1001537,8,2
1001540,3,1
1001541,1,1
1001543,1,1
1001545,10,3
100155,4,1
1001551,1,1
1001557,1,1
1001558,1,1
1001562,2,1
1001563,2,1
1001566,7,2
1001569,2,1
100157,2,1
1001578,2,1
1001584,2,1
1001586,1,1
1001590,1,1
1001591,1,1
1001595,1,1
1001596,4,1
1001597,2,1
1001600,4,1
1001601,2,1
1001606,1,1
1001608,1,1
1001609,1,1
1001610,2,1
1001613,1,1
1001615,6,2
1001617,1,1
1001618,1,1
100162,26,4
1001625,6,2
1001626,2,1
1001628,1,1
1001629,9,2
1001639,3,1
100164,1,1
1001641,2,1
1001645,1,1
1001652,4,1
1001654,2,1
1001656,1,1
1001662,9,2
1001667,2,1
1001669,5,2
100167,1,1
1001671,1,1
1001673,2,1
1001676,3,1
100168,2,1
1001681,6,2
1001686,1,1
1001688,1,1
1001689,1,1
1001697,1,1
1001698,3,1
1001699,1,1
1001700,2,1
1001704,1,1
1001711,5,2
1001712,3,1
1001719,1,1
100173,8,2
1001731,4,1
1001737,3,1
100174,3,1
1001741,2,1
1001744,1,1
1001746,9,2
1001747,2,1
1001757,2,1
1001758,3,1
1001764,2,1
1001769,3,1
100177,3,1
1001771,1,1
1001772,4,1
1001781,2,1
1001782,4,1
1001783,4,1
1001784,2,1
1001788,3,1
100179,4,1
1001791,2,1
1001792,1,1
1001799,2,1
1001800,1,1
1001801,4,1
1001803,2,1
1001804,4,1
1001806,1,1
1001807,9,2
1001809,1,1
100181,1,1
1001813,2,1
1001820,2,1
1001823,1,1
1001826,1,1
1001829,4,1
1001830,1,1
1001833,1,1
1001835,1,1
1001836,1,1
100184,1,1
1001841,7,2
1001844,2,1
1001847,3,1
1001848,3,1
1001850,2,1
1001854,6,2
1001855,3,1
1001856,8,2
100186,5,2
1001860,4,1
1001862,2,1
1001865,4,1
1001866,15,3
1001870,2,1
1001872,2,1
1001875,5,2
1001876,2,1
1001877,3,1
1001879,2,1
1001882,1,1
1001888,5,2
1001891,2,1
1001896,4,1
1001897,5,2
1001901,3,1
1001902,2,1
1001903,1,1
1001908,2,1
100191,5,2
1001911,2,1
1001912,1,1
1001914,3,1
1001915,5,2
1001916,3,1
1001917,3,1
1001920,3,1
1001921,6,2
1001922,2,1
1001925,2,1
1001929,2,1
1001937,2,1
1001944,4,1
1001946,1,1
1001947,1,1
1001948,3,1
1001949,1,1
1001952,2,1
1001954,3,1
1001967,3,1
100197,2,1
1001974,2,1
1001975,5,2
1001981,1,1
1001982,2,1
1001985,1,1
1001988,4,1
1001999,14,3
1002,1,1
10020,1,1
100200,2,1
1002005,1,1
1002010,1,1
1002012,3,1
1002017,2,1
1002019,2,1
1002020,4,1
1002031,16,0
1002032,4,1
1002034,5,2
100204,5,2
1002040,3,1
1002042,7,2
1002044,1,1
1002046,8,2
1002058,1,1
100206,3,1
1002066,5,2
1002074,2,1
1002075,2,1
1002076,2,1
1002077,6,2
1002085,2,1
100209,1,1
1002090,1,1
1002091,1,1
1002093,4,1
1002095,4,1
10021,1,1
1002103,1,1
1002104,1,1
1002118,3,1
1002120,2,1
1002127,2,1
1002128,2,1
1002132,5,2
1002133,2,1
1002136,3,1
1002142,3,1
1002144,4,1
1002147,1,1
100215,3,1
1002152,4,1
100216,3,1
1002166,10,3
1002172,2,1
1002179,6,2
1002180,2,1
1002182,3,1
1002183,1,1
1002185,7,2
1002188,3,1
1002191,3,1
1002192,1,1
1002194,3,1
1002196,4,1
1002200,1,1
1002201,5,2
1002202,3,1
1002208,5,2
1002213,2,1
1002218,2,1
1002219,5,2
1002220,1,1
1002221,1,1
1002222,11,3
1002226,4,1
1002228,10,3
1002232,4,1
1002235,3,1
1002237,9,2
1002244,3,1
1002246,8,2
1002247,3,1
100225,2,1
1002251,5,2
1002253,2,1
1002254,2,1
1002257,2,1
100226,2,1
1002260,1,1
1002261,6,2
1002263,2,1
1002267,2,1
100227,1,1
1002271,3,1
1002276,1,1
1002284,2,1
1002285,1,1
1002286,1,1
100229,1,1
1002290,1,1
1002291,1,1
1002295,3,1
1002296,3,1
1002297,2,1
1002306,1,1
1002307,10,3
1002308,1,1
1002310,5,2
1002311,2,1
1002315,1,1
1002316,2,1
1002317,3,1
1002321,2,1
1002325,1,1
1002326,5,2
1002328,1,1
1002330,3,1
1002331,7,2
1002332,1,1
1002339,1,1
100234,6,2
1002340,13,3
1002349,5,2
1002350,2,1
1002351,19,0
1002357,6,2
1002358,10,3
1002365,3,1
100237,1,1
1002375,1,1
1002377,4,1
1002378,1,1
1002379,4,1
1002380,3,1
1002383,3,1
1002387,7,2
1002388,5,2
1002392,3,1
10024,6,2
100241,2,1
1002412,1,1
1002413,5,2
1002416,2,1
100242,5,2
1002421,1,1
1002423,1,1
1002426,1,1
1002428,3,1
100243,2,1
1002435,3,1
1002437,1,1
1002449,5,2
1002452,6,2
1002453,1,1
1002454,4,1
1002460,2,1
1002463,1,1
1002464,1,1
1002466,2,1
1002468,9,2
1002473,2,1
1002477,4,1
1002478,1,1
1002479,1,1
1002484,1,1
100249,2,1
1002494,1,1
1002504,3,1
1002508,1,1
1002512,1,1
1002520,4,1
1002526,7,2
1002534,4,1
1002542,1,1
1002547,1,1
1002564,2,1
1002566,5,2
100257,6,2
1002574,2,1
1002578,4,1
1002587,5,2
1002589,8,2
100259,1,1
1002591,1,1
1002593,1,1
1002597,2,1
100261,2,1
1002618,7,2
1002637,7,2
100264,2,1
1002642,1,1
1002661,1,1
1002672,3,1
1002684,2,1
1002685,4,1
1002696,2,1
10027,3,1
1002705,7,2
1002714,3,1
1002725,2,1
1002756,2,1
1002763,12,3
1002766,1,1
1002767,1,1
100277,1,1
1002771,1,1
100279,3,1
1002793,1,1
1002831,2,1
100284,1,1
1002846,1,1
1002847,3,1
100285,1,1
1002862,2,1
1002878,3,1
1002886,7,2
1002890,1,1
1002909,6,2
100292,2,1
1002927,5,2
1002928,5,2
1002931,2,1
1002934,4,1
100294,5,2
1002940,4,1
1002943,2,1
1002970,6,2
1002975,1,1
1002980,1,1
1002992,2,1
1002996,1,1
1003022,8,2
1003027,4,1
1003041,4,1
1003044,3,1
1003047,2,1
1003052,1,1
1003057,1,1
1003063,2,1
1003065,5,2
100307,2,1
1003071,1,1
1003073,1,1
1003076,3,1
100308,1,1
1003093,1,1
1003095,4,1
1003110,2,1
1003122,1,1
1003123,1,1
1003124,1,1
100313,1,1
1003131,5,2
1003152,2,1
1003157,2,1
1003163,5,2
1003171,2,1
1003176,2,1
1003177,6,2
100318,2,1
1003183,4,1
1003184,2,1
1003190,1,1
1003191,6,2
1003199,1,1
1003200,5,2
1003221,1,1
1003226,1,1
1003227,1,1
1003230,1,1
1003239,3,1
100324,2,1
1003249,6,2
1003250,1,1
1003264,3,1
1003273,4,1
1003274,1,1
1003281,1,1
1003283,1,1
1003292,1,1
1003293,1,1
1003296,2,1
1003298,1,1
1003306,1,1
1003319,3,1
1003321,6,2
1003326,1,1
1003329,2,1
1003332,3,1
1003341,3,1
1003343,3,1
1003348,1,1
1003351,5,2
1003359,1,1
100339,1,1
1003390,4,1
1003397,2,1
10034,4,1
100340,3,1
1003410,2,1
1003422,3,1
1003428,8,2
1003432,1,1
1003440,2,1
1003457,1,1
100346,1,1
1003463,1,1
1003467,1,1
1003475,1,1
1003479,2,1
1003492,2,1
1003499,1,1
10035,4,1
1003509,4,1
1003510,7,2
1003512,1,1
1003514,2,1
1003531,3,1
1003550,2,1
1003553,2,1
1003559,4,1
100356,6,2
1003561,4,1
1003562,4,1
100357,2,1
1003571,2,1
1003584,2,1
1003586,5,2
1003598,1,1
1003610,3,1
1003611,6,2
1003612,1,1
1003627,2,1
1003628,4,1
1003629,1,1
100363,2,1
1003643,3,1
1003656,6,2
1003685,1,1
1003693,1,1
100370,2,1
1003703,2,1
1003707,3,1
1003711,3,1
1003716,9,2
1003724,5,2
1003725,1,1
1003733,1,1
1003740,3,1
1003743,1,1
1003748,1,1
1003756,1,1
1003757,1,1
1003761,1,1
1003766,2,1
1003767,3,1
100377,3,1
1003781,5,2
1003782,2,1
1003792,1,1
1003807,1,1
1003821,2,1
1003826,10,3
1003837,6,2
1003838,3,1
1003846,2,1
1003855,1,1
1003863,1,1
1003866,1,1
1003867,2,1
1003871,3,1
1003875,1,1
100388,3,1
1003885,4,1
1003887,1,1
1003893,1,1
1003894,1,1
1003901,31,4
1003906,9,2
1003912,1,1
1003914,1,1
1003938,2,1
1003940,3,1
1003941,4,1
1003947,1,1
100395,2,1
1003961,1,1
1003965,2,1
1003975,5,2
1003979,2,1
1003983,43,4
1003988,2,1
1003991,1,1
1003993,1,1
1003998,2,1
1004001,1,1
1004002,1,1
100401,2,1
1004019,2,1
1004020,1,1
1004021,3,1
1004026,1,1
1004032,2,1
1004068,4,1
1004073,1,1
1004075,4,1
1004082,2,1
1004087,2,1
1004096,12,3
1004106,3,1
1004115,1,1
1004118,1,1
1004122,3,1
1004140,1,1
1004146,1,1
1004161,2,1
1004165,4,1
1004172,5,2
1004183,2,1
1004192,3,1
1004196,2,1
1004201,1,1
1004207,1,1
1004212,3,1
1004228,6,2
1004232,3,1
1004238,8,2
1004246,1,1
1004259,3,1
1004269,4,1
1004274,2,1
1004277,1,1
100428,1,1
1004282,1,1
1004289,1,1
1004296,2,1
1004298,2,1
1004302,1,1
1004303,1,1
1004319,1,1
1004327,5,2
1004335,3,1
1004337,6,2
1004339,5,2
1004341,3,1
1004350,2,1
1004353,1,1
1004354,1,1
1004357,3,1
1004362,1,1
1004366,3,1
1004368,2,1
1004378,2,1
1004381,5,2
1004396,2,1
10044,2,1
100440,1,1
1004403,2,1
1004405,2,1
1004406,3,1
1004410,2,1
1004413,2,1
1004420,3,1
1004426,1,1
1004427,1,1
1004441,1,1
1004442,4,1
1004443,1,1
1004444,2,1
1004446,2,1
1004448,7,2
1004454,2,1
1004458,12,3
1004463,9,2
1004466,2,1
1004467,1,1
1004471,3,1
1004474,1,1
1004477,3,1
1004490,3,1
1004497,1,1
10045,1,1
1004504,4,1
100451,3,1
1004516,2,1
1004523,6,2
100453,1,1
1004533,2,1
1004538,3,1
1004555,2,1
1004560,4,1
1004562,1,1
1004565,2,1
1004570,1,1
1004572,6,2
1004577,3,1
1004580,1,1
1004584,15,3
1004599,1,1
1004603,6,2
1004604,1,1
1004606,3,1
1004608,1,1
1004611,1,1
1004651,3,1
1004659,2,1
1004663,6,2
1004681,3,1
1004682,3,1
1004684,1,1
1004701,2,1
1004726,10,3
1004730,3,1
1004737,2,1
1004743,2,1
1004745,8,2
1004751,2,1
100477,6,2
1004775,1,1
1004778,1,1
1004785,6,2
1004792,7,2
1004800,1,1
1004807,5,2
1004810,2,1
1004829,2,1
100483,6,2
1004834,2,1
1004835,8,2
1004839,4,1
1004841,2,1
1004842,1,1
1004862,2,1
1004879,6,2
1004881,19,0
1004886,1,1
1004895,3,1
10049,1,1
1004906,3,1
1004929,2,1
100493,2,1
1004936,2,1
1004944,1,1
1004945,4,1
1004958,4,1
1004960,1,1
1004964,6,2
1004973,2,1
1004974,2,1
1004993,2,1
100501,1,1
1005016,2,1
1005022,1,1
1005035,1,1
1005055,3,1
1005070,1,1
1005074,6,2
1005077,2,1
1005082,2,1
1005085,1,1
1005103,2,1
1005115,1,1
1005117,1,1
1005124,10,3
1005129,1,1
1005131,1,1
1005134,2,1
1005135,1,1
1005166,5,2
1005179,2,1
1005186,2,1
1005188,2,1
1005196,1,1
1005215,2,1
1005218,2,1
100523,3,1
1005233,3,1
1005249,1,1
1005256,1,1
1005257,1,1
1005259,21,4
1005268,1,1
1005269,3,1
100528,6,2
1005281,3,1
1005283,2,1
1005284,11,3
1005292,4,1
1005293,4,1
1005294,5,2
10053,1,1
1005304,1,1
100531,2,1
1005311,2,1
1005313,2,1
1005314,1,1
1005319,1,1
1005320,3,1
1005324,4,1
1005329,1,1
1005337,5,2
1005338,4,1
1005345,3,1
1005346,1,1
1005366,2,1
1005383,1,1
100540,4,1
1005401,2,1
1005407,4,1
1005412,1,1
1005413,1,1
1005414,4,1
1005417,5,2
1005419,7,2
1005422,3,1
1005430,2,1
1005431,1,1
1005442,1,1
1005444,1,1
1005455,3,1
1005459,1,1
1005468,1,1
1005472,1,1
1005473,1,1
1005474,4,1
1005482,3,1
1005487,1,1
1005490,1,1
1005498,5,2
1005501,2,1
1005502,3,1
1005505,2,1
1005507,1,1
1005521,3,1
1005522,1,1
1005524,1,1
1005541,2,1
1005545,2,1
1005548,2,1
1005551,3,1
1005559,3,1
1005564,5,2
1005571,3,1
1005572,3,1
1005585,2,1
100561,2,1
1005616,7,2
1005626,3,1
1005627,1,1
1005649,12,3
1005659,1,1
1005661,3,1
100567,2,1
1005681,2,1
1005688,7,2
1005693,1,1
1005694,1,1
10057,5,2
1005701,2,1
1005703,8,2
1005704,4,1
1005705,2,1
1005706,1,1
1005707,3,1
1005709,15,3
1005712,5,2
1005713,4,1
1005738,2,1
1005742,4,1
1005744,1,1
1005746,7,2
1005752,4,1
1005758,4,1
1005760,4,1
1005766,1,1
1005767,1,1
1005771,2,1
1005775,1,1
1005779,2,1
1005785,2,1
1005787,2,1
1005788,1,1
100580,6,2
1005807,4,1
1005822,2,1
1005832,6,2
1005834,2,1
1005837,1,1
1005838,4,1
1005845,5,2
1005860,3,1
1005864,2,1
1005866,4,1
1005874,4,1
1005877,3,1
1005880,1,1
1005897,3,1
1005906,3,1
1005909,3,1
1005910,2,1
1005916,8,2
1005924,5,2
1005939,1,1
1005945,2,1
100595,2,1
1005952,3,1
1005953,3,1
1005961,4,1
1005981,1,1
1005982,2,1
1005985,5,2
100599,6,2
1005990,3,1
1005995,6,2
1005996,2,1
100600,3,1
1006002,1,1
1006003,5,2
1006015,2,1
1006021,1,1
1006028,1,1
1006040,2,1
1006063,1,1
1006079,1,1
1006084,1,1
1006097,4,1
1006102,1,1
1006110,7,2
1006121,1,1
1006126,3,1
100614,2,1
1006141,9,2
100615,2,1
1006159,3,1
1006173,3,1
1006178,1,1
1006181,3,1
1006204,3,1
1006207,3,1
1006224,3,1
1006236,1,1
1006252,5,2
1006255,2,1
1006260,1,1
1006261,1,1
1006262,12,3
1006267,6,2
1006274,8,2
1006288,1,1
1006306,2,1
1006307,12,3
1006309,1,1
1006312,5,2
1006317,1,1
1006322,5,2
1006336,1,1
1006351,1,1
1006354,3,1
1006389,5,2
1006392,2,1
1006394,1,1
1006395,3,1
1006398,1,1
1006402,6,2
1006403,2,1
1006404,3,1
1006405,3,1
1006407,2,1
100641,1,1
1006411,2,1
1006422,2,1
1006432,3,1
1006439,1,1
1006446,8,2
1006448,4,1
1006451,5,2
1006453,4,1
1006469,5,2
1006470,1,1
1006471,7,2
1006480,1,1
1006481,1,1
1006482,6,2
1006495,1,1
1006498,1,1
1006510,3,1
1006513,3,1
1006525,3,1
1006538,2,1
1006543,1,1
1006553,5,2
1006563,1,1
1006566,2,1
1006582,5,2
1006585,1,1
1006586,3,1
1006590,1,1
1006593,1,1
1006597,12,3
1006601,3,1
1006616,12,3
1006618,1,1
100663,4,1
1006634,1,1
100664,1,1
1006647,1,1
1006651,5,2
1006652,1,1
1006653,9,2
1006660,2,1
1006666,3,1
1006670,1,1
1006678,1,1
1006698,2,1
1006704,1,1
1006707,4,1
1006736,2,1
1006740,4,1
1006745,14,3
1006754,2,1
1006765,5,2
1006767,2,1
1006768,2,1
1006777,2,1
100678,11,3
1006784,1,1
1006803,3,1
1006817,1,1
1006823,2,1
1006850,1,1
1006851,5,2
1006864,4,1
1006870,1,1
1006872,23,4
100688,2,1
1006887,8,2
1006889,6,2
1006894,4,1
1006897,16,0
1006917,1,1
1006919,3,1
1006920,7,2
1006925,1,1
1006935,4,1
1006938,3,1
1006939,2,1
1006940,2,1
1006943,1,1
1006954,3,1
1006964,4,1
1006977,1,1
1006984,1,1
1006992,2,1
100700,2,1
1007004,4,1
1007006,1,1
1007017,2,1
100702,1,1
1007020,4,1
1007027,3,1
1007028,1,1
1007031,2,1
1007035,13,3
1007037,2,1
1007046,2,1
1007057,1,1
1007058,2,1
1007071,24,4
1007076,3,1
1007077,1,1
1007078,15,3
1007082,3,1
1007088,2,1
1007094,1,1
1007112,5,2
100712,1,1
1007123,3,1
1007148,7,2
1007155,4,1
1007163,5,2
1007171,4,1
1007181,9,2
100719,1,1
1007190,4,1
1007192,2,1
1007200,1,1
1007201,2,1
1007202,1,1
1007217,1,1
1007221,1,1
1007222,1,1
1007225,4,1
1007231,6,2
1007246,1,1
1007248,4,1
1007250,1,1
1007253,4,1
1007255,5,2
1007260,1,1
1007274,1,1
1007275,1,1
1007280,1,1
1007294,4,1
1007313,1,1
1007314,1,1
1007317,2,1
1007319,7,2
1007323,1,1
1007334,1,1
1007335,16,0
1007339,2,1
100734,2,1
1007349,4,1
1007353,2,1
1007356,3,1
1007371,1,1
1007387,7,2
1007388,2,1
1007391,3,1
1007393,2,1
1007396,2,1
100740,3,1
1007401,2,1
1007402,3,1
1007441,2,1
1007445,2,1
1007452,2,1
1007453,6,2
1007476,3,1
1007479,4,1
1007484,3,1
1007486,1,1
1007495,1,1
10075,2,1
1007501,9,2
1007503,2,1
1007506,1,1
1007511,2,1
1007513,3,1
1007539,2,1
1007550,1,1
100757,3,1
1007573,1,1
1007579,5,2
1007583,2,1
1007595,5,2
1007596,3,1
1007597,2,1
100760,3,1
1007601,5,2
1007609,1,1
1007617,1,1
100762,2,1
1007624,1,1
1007629,3,1
1007635,1,1
1007642,1,1
1007644,1,1
1007659,1,1
1007665,1,1
1007670,18,0
1007671,2,1
1007680,1,1
1007688,2,1
1007691,1,1
1007699,1,1
1007704,4,1
1007712,1,1
100772,2,1
1007724,1,1
1007739,2,1
1007747,6,2
1007753,1,1
1007755,5,2
1007770,3,1
1007778,2,1
1007779,1,1
1007782,4,1
1007786,12,3
1007791,2,1
10078,1,1
1007802,3,1
1007808,1,1
100781,1,1
1007819,1,1
1007833,1,1
1007839,4,1
1007843,1,1
1007848,5,2
1007851,2,1
1007857,3,1
1007860,1,1
1007870,4,1
1007879,2,1
1007884,2,1
1007890,1,1
1007894,1,1
1007906,2,1
1007907,4,1
1007912,14,3
1007919,5,2
1007925,5,2
1007928,1,1
1007934,3,1
100794,2,1
1007944,2,1
1007952,13,3
1007957,1,1
1007963,3,1
1007965,3,1
100797,5,2
1007976,3,1
1007983,3,1
1007993,3,1
100800,1,1
1008003,3,1
1008008,1,1
1008010,1,1
100803,4,1
1008037,1,1
1008042,1,1
1008044,1,1
1008055,1,1
1008062,5,2
1008065,4,1
1008078,1,1
1008082,5,2
1008085,10,3
1008097,3,1
1008100,4,1
1008102,1,1
1008106,4,1
1008107,2,1
100812,5,2
1008120,1,1
1008131,4,1
1008137,5,2
100814,2,1
1008148,2,1
100815,1,1
1008151,1,1
1008152,2,1
100816,1,1
1008162,2,1
1008174,8,2
1008183,4,1
1008184,2,1
1008187,4,1
100821,3,1
1008212,3,1
1008215,2,1
1008217,2,1
100822,2,1
1008221,9,2
1008230,11,3
1008231,1,1
1008241,3,1
1008245,7,2
1008253,1,1
1008255,1,1
1008257,1,1
1008258,1,1
1008275,20,4
1008287,2,1
1008289,5,2
1008295,4,1
1008302,1,1
1008323,1,1
1008333,3,1
1008349,1,1
1008366,2,1
1008370,3,1
1008376,1,1
1008378,4,1
1008380,57,4
1008382,1,1
1008385,4,1
1008387,1,1
1008391,4,1
1008392,1,1
1008401,1,1
1008405,3,1
1008411,1,1
1008415,1,1
1008418,1,1
1008425,3,1
1008427,2,1
1008429,2,1
1008430,4,1
100847,2,1
1008481,2,1
1008485,2,1
1008489,1,1
1008500,2,1
1008502,2,1
1008531,1,1
1008557,5,2
100856,2,1
1008586,2,1
1008587,4,1
1008590,1,1
10086,2,1
100860,6,2
1008612,2,1
1008614,3,1
1008615,1,1
100865,1,1
1008652,1,1
1008661,2,1
1008665,2,1
1008674,1,1
1008681,4,1
1008684,1,1
1008685,2,1
1008698,3,1
100871,3,1
1008711,1,1
1008726,2,1
1008729,2,1
1008733,2,1
1008737,1,1
1008744,1,1
1008748,2,1
1008749,1,1
1008757,1,1
1008764,2,1
100877,1,1
1008777,1,1
1008779,4,1
1008786,7,2
1008791,1,1
1008793,1,1
1008794,3,1
1008799,15,3
1008820,3,1
1008829,1,1
1008830,17,0
1008832,1,1
1008834,3,1
1008842,8,2
1008846,1,1
1008849,2,1
1008860,2,1
1008868,1,1
1008870,5,2
1008879,2,1
1008882,2,1
1008883,3,1
1008891,5,2
1008899,1,1
1008904,7,2
1008905,1,1
1008906,3,1
1008909,1,1
100891,2,1
1008916,5,2
100893,1,1
1008933,2,1
1008934,2,1
1008938,1,1
1008956,1,1
1008961,4,1
1008963,1,1
1008972,11,3
1008985,2,1
1008993,6,2
1008994,9,2
1009003,1,1
1009005,3,1
100901,1,1
1009011,1,1
1009013,6,2
1009021,2,1
